Round0, ROCAUC0.554858934169, LOGLOSS0.648510163277, F1 MACRO0.603356216629, F1 POS0.434782608696, ACCURACY0.675, PRECISION0.60119047619, RECALL0.6065830721
Round1, ROCAUC0.391534391534, LOGLOSS0.659091471457, F1 MACRO0.466703357182, F1 POS0.173913043478, ACCURACY0.627450980392, PRECISION0.476833976834, RECALL0.468253968254
Round2, ROCAUC0.542410714286, LOGLOSS0.669823458249, F1 MACRO0.371428571429, F1 POS0.0, ACCURACY0.590909090909, PRECISION0.309523809524, RECALL0.464285714286
Round3, ROCAUC0.469135802469, LOGLOSS0.702287859776, F1 MACRO0.367852858856, F1 POS0.243902439024, ACCURACY0.392156862745, PRECISION0.381274131274, RECALL0.405092592593
Round4, ROCAUC0.216326530612, LOGLOSS0.76196960892, F1 MACRO0.312280701754, F1 POS0.157894736842, ACCURACY0.34693877551, PRECISION0.3425, RECALL0.307142857143
Round5, ROCAUC0.559027777778, LOGLOSS0.691858566326, F1 MACRO0.564414309095, F1 POS0.703296703297, ACCURACY0.608695652174, PRECISION0.564400715564, RECALL0.571428571429
Round6, ROCAUC0.522606382979, LOGLOSS0.670312955163, F1 MACRO0.572222222222, F1 POS0.3, ACCURACY0.745454545455, PRECISION0.566860465116, RECALL0.591755319149
Round7, ROCAUC0.581300813008, LOGLOSS0.560395592705, F1 MACRO0.598290598291, F1 POS0.307692307692, ACCURACY0.808510638298, PRECISION0.592857142857, RECALL0.605691056911
Round8, ROCAUC0.631428571429, LOGLOSS0.642275316848, F1 MACRO0.499629355078, F1 POS0.210526315789, ACCURACY0.666666666667, PRECISION0.5, RECALL0.5
Round9, ROCAUC0.47724137931, LOGLOSS0.705986422521, F1 MACRO0.443681318681, F1 POS0.464285714286, ACCURACY0.444444444444, PRECISION0.448807854137, RECALL0.449655172414
Round10, ROCAUC0.662962962963, LOGLOSS0.641191879908, F1 MACRO0.588318085855, F1 POS0.48275862069, ACCURACY0.615384615385, PRECISION0.622368421053, RECALL0.672222222222
Round11, ROCAUC0.764705882353, LOGLOSS0.629495169108, F1 MACRO0.458333333333, F1 POS0.0, ACCURACY0.846153846154, PRECISION0.488888888889, RECALL0.43137254902
Round12, ROCAUC0.435064935065, LOGLOSS0.738632102609, F1 MACRO0.416666666667, F1 POS0.3, ACCURACY0.44, PRECISION0.460526315789, RECALL0.470779220779
Round13, ROCAUC0.513888888889, LOGLOSS0.693178685344, F1 MACRO0.45, F1 POS0.214285714286, ACCURACY0.551020408163, PRECISION0.5425, RECALL0.641666666667
Round14, ROCAUC0.538797814208, LOGLOSS0.589541800712, F1 MACRO0.441176470588, F1 POS0.0, ACCURACY0.789473684211, PRECISION0.4, RECALL0.491803278689
Round15, ROCAUC0.508441558442, LOGLOSS0.688891682639, F1 MACRO0.516850490196, F1 POS0.627450980392, ACCURACY0.542168674699, PRECISION0.52098108747, RECALL0.523051948052
Round16, ROCAUC0.632928475034, LOGLOSS0.624429285101, F1 MACRO0.655850540806, F1 POS0.444444444444, ACCURACY0.785714285714, PRECISION0.651785714286, RECALL0.660593792173
Round17, ROCAUC0.46439628483, LOGLOSS0.735415474424, F1 MACRO0.423913043478, F1 POS0.5, ACCURACY0.433962264151, PRECISION0.516260162602, RECALL0.512383900929
Round18, ROCAUC0.6703125, LOGLOSS0.676406176618, F1 MACRO0.576923076923, F1 POS0.576923076923, ACCURACY0.576923076923, PRECISION0.609375, RECALL0.609375
Round19, ROCAUC0.637142857143, LOGLOSS0.688156675834, F1 MACRO0.507641196013, F1 POS0.558139534884, ACCURACY0.512820512821, PRECISION0.606896551724, RECALL0.588571428571
Round20, ROCAUC0.606902356902, LOGLOSS0.685226511722, F1 MACRO0.571771291483, F1 POS0.487804878049, ACCURACY0.588235294118, PRECISION0.574534161491, RECALL0.580808080808
Round21, ROCAUC0.478675645342, LOGLOSS0.713026771446, F1 MACRO0.471210340776, F1 POS0.594594594595, ACCURACY0.5, PRECISION0.541734860884, RECALL0.52861952862
Round22, ROCAUC0.529156327543, LOGLOSS0.693991444613, F1 MACRO0.473846153846, F1 POS0.64, ACCURACY0.526315789474, PRECISION0.619897959184, RECALL0.558312655087
Round23, ROCAUC0.507989907485, LOGLOSS0.685406116928, F1 MACRO0.514338575393, F1 POS0.68085106383, ACCURACY0.571428571429, PRECISION0.5371809101, RECALL0.528174936922
Round24, ROCAUC0.479224376731, LOGLOSS0.693254590034, F1 MACRO0.521008403361, F1 POS0.571428571429, ACCURACY0.526315789474, PRECISION0.527536231884, RECALL0.526315789474
Round25, ROCAUC0.571180555556, LOGLOSS0.682876227738, F1 MACRO0.585129310345, F1 POS0.6875, ACCURACY0.61038961039, PRECISION0.592760180995, RECALL0.585416666667
Round26, ROCAUC0.668128654971, LOGLOSS0.672885976933, F1 MACRO0.589800443459, F1 POS0.545454545455, ACCURACY0.594594594595, PRECISION0.604037267081, RECALL0.597953216374
Round27, ROCAUC0.521610169492, LOGLOSS0.686426506767, F1 MACRO0.401515151515, F1 POS0.0, ACCURACY0.670886075949, PRECISION0.36301369863, RECALL0.449152542373
Round28, ROCAUC0.659090909091, LOGLOSS0.700641232868, F1 MACRO0.301400560224, F1 POS0.43137254902, ACCURACY0.325581395349, PRECISION0.6375, RECALL0.546875
Round29, ROCAUC0.476086956522, LOGLOSS0.671725649209, F1 MACRO0.497340425532, F1 POS0.744680851064, ACCURACY0.619047619048, PRECISION0.546296296296, RECALL0.524456521739
Round30, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.14, F1 POS0.28, ACCURACY0.162790697674, PRECISION0.0813953488372, RECALL0.5
Round31, ROCAUC0.549330514447, LOGLOSS0.69253856728, F1 MACRO0.513104251602, F1 POS0.352941176471, ACCURACY0.565789473684, PRECISION0.543103448276, RECALL0.531712473573
Round32, ROCAUC0.597789115646, LOGLOSS0.648186609149, F1 MACRO0.536643026005, F1 POS0.222222222222, ACCURACY0.75, PRECISION0.634615384615, RECALL0.547619047619
Round33, ROCAUC0.444444444444, LOGLOSS0.654713531335, F1 MACRO0.428093645485, F1 POS0.0869565217391, ACCURACY0.631578947368, PRECISION0.497972972973, RECALL0.490740740741
Round34, ROCAUC0.393429487179, LOGLOSS0.670885099739, F1 MACRO0.401960784314, F1 POS0.0, ACCURACY0.672131147541, PRECISION0.37962962963, RECALL0.427083333333
Round35, ROCAUC0.567307692308, LOGLOSS0.689214345527, F1 MACRO0.530683810637, F1 POS0.440677966102, ACCURACY0.547945205479, PRECISION0.556766917293, RECALL0.569139194139
Round36, ROCAUC0.73037037037, LOGLOSS0.637013605008, F1 MACRO0.600614439324, F1 POS0.52380952381, ACCURACY0.615384615385, PRECISION0.623529411765, RECALL0.608888888889
Round37, ROCAUC0.582666666667, LOGLOSS0.661440719091, F1 MACRO0.539007092199, F1 POS0.333333333333, ACCURACY0.630769230769, PRECISION0.540584415584, RECALL0.55
Round38, ROCAUC0.571428571429, LOGLOSS0.667779420552, F1 MACRO0.400050929463, F1 POS0.0606060606061, ACCURACY0.592105263158, PRECISION0.397619047619, RECALL0.467498110355
Round39, ROCAUC0.66369047619, LOGLOSS0.687055144761, F1 MACRO0.501347708895, F1 POS0.716981132075, ACCURACY0.594594594595, PRECISION0.596875, RECALL0.546130952381
Round40, ROCAUC0.523596938776, LOGLOSS0.692793122622, F1 MACRO0.495341614907, F1 POS0.347826086957, ACCURACY0.538461538462, PRECISION0.519047619048, RECALL0.525510204082
Round41, ROCAUC0.558620689655, LOGLOSS0.666887911623, F1 MACRO0.502786377709, F1 POS0.352941176471, ACCURACY0.547945205479, PRECISION0.543918918919, RECALL0.56724137931
Round42, ROCAUC0.649122807018, LOGLOSS0.674188237924, F1 MACRO0.590961098398, F1 POS0.421052631579, ACCURACY0.661538461538, PRECISION0.68771043771, RECALL0.608674463938
Round43, ROCAUC0.541666666667, LOGLOSS0.689789332449, F1 MACRO0.54584092289, F1 POS0.37037037037, ACCURACY0.613636363636, PRECISION0.65444015444, RECALL0.583333333333
Round44, ROCAUC0.542658730159, LOGLOSS0.674572190046, F1 MACRO0.538610976202, F1 POS0.344827586207, ACCURACY0.62, PRECISION0.538095238095, RECALL0.539682539683
