Round0, ROCAUC0.705329153605, LOGLOSS0.58060739059, F1 SCORE0.494833524684,
Round1, ROCAUC0.375661375661, LOGLOSS0.665519241024, F1 SCORE0.440243902439,
Round2, ROCAUC0.600446428571, LOGLOSS0.672654869882, F1 SCORE0.566165023352,
Round3, ROCAUC0.814814814815, LOGLOSS0.630459367645, F1 SCORE0.597089397089,
Round4, ROCAUC0.490816326531, LOGLOSS0.643769717946, F1 SCORE0.545454545455,
Round5, ROCAUC0.579861111111, LOGLOSS0.798199401817, F1 SCORE0.390151515152,
Round6, ROCAUC0.696808510638, LOGLOSS0.400311686708, F1 SCORE0.607454401269,
Round7, ROCAUC0.60162601626, LOGLOSS0.77338920819, F1 SCORE0.381578947368,
Round8, ROCAUC0.837142857143, LOGLOSS0.43155540067, F1 SCORE0.56,
Round9, ROCAUC0.544827586207, LOGLOSS0.680618120564, F1 SCORE0.5875,
Round10, ROCAUC0.696296296296, LOGLOSS0.590442131727, F1 SCORE0.660869565217,
Round11, ROCAUC0.960784313725, LOGLOSS0.443436545248, F1 SCORE0.542521994135,
Round12, ROCAUC0.626623376623, LOGLOSS0.760341801643, F1 SCORE0.490662139219,
Round13, ROCAUC0.588888888889, LOGLOSS0.585145547986, F1 SCORE0.484848484848,
Round14, ROCAUC0.675409836066, LOGLOSS0.544180674387, F1 SCORE0.628815628816,
Round15, ROCAUC0.585714285714, LOGLOSS1.53979233934, F1 SCORE0.402160864346,
Round16, ROCAUC0.746963562753, LOGLOSS0.573732322029, F1 SCORE0.674922600619,
Round17, ROCAUC0.65479876161, LOGLOSS0.637342625631, F1 SCORE0.549037169727,
Round18, ROCAUC0.69375, LOGLOSS0.889102528973, F1 SCORE0.649175412294,
Round19, ROCAUC0.734285714286, LOGLOSS0.599869907284, F1 SCORE0.675,
Round20, ROCAUC0.76936026936, LOGLOSS0.572460736714, F1 SCORE0.686820973075,
Round21, ROCAUC0.649270482604, LOGLOSS0.66937623024, F1 SCORE0.637826961771,
Round22, ROCAUC0.68858560794, LOGLOSS0.639281739268, F1 SCORE0.635549872123,
Round23, ROCAUC0.724137931034, LOGLOSS0.710476153876, F1 SCORE0.494047619048,
Round24, ROCAUC0.734072022161, LOGLOSS0.688084238454, F1 SCORE0.40771123872,
Round25, ROCAUC0.638888888889, LOGLOSS0.803596858951, F1 SCORE0.511236918854,
Round26, ROCAUC0.804093567251, LOGLOSS0.609439238503, F1 SCORE0.719696969697,
Round27, ROCAUC0.63813559322, LOGLOSS0.637413580206, F1 SCORE0.541231126597,
Round28, ROCAUC0.647727272727, LOGLOSS0.672564568734, F1 SCORE0.629310344828,
Round29, ROCAUC0.597826086957, LOGLOSS1.19603017014, F1 SCORE0.276267862146,
Round30, ROCAUC0.414682539683, LOGLOSS0.733082850312, F1 SCORE0.450284090909,
Round31, ROCAUC0.628611698379, LOGLOSS0.701261893307, F1 SCORE0.58180484226,
Round32, ROCAUC0.636054421769, LOGLOSS0.613512750449, F1 SCORE0.510804597701,
Round33, ROCAUC0.521604938272, LOGLOSS0.530231214406, F1 SCORE0.451923076923,
Round34, ROCAUC0.658653846154, LOGLOSS0.629013406449, F1 SCORE0.605943152455,
Round35, ROCAUC0.738553113553, LOGLOSS0.565994538673, F1 SCORE0.680566280566,
Round36, ROCAUC0.622962962963, LOGLOSS0.668391971634, F1 SCORE0.606060606061,
Round37, ROCAUC0.524, LOGLOSS0.624474313741, F1 SCORE0.415677813736,
Round38, ROCAUC0.514739229025, LOGLOSS0.689571108277, F1 SCORE0.510695742471,
Round39, ROCAUC0.666666666667, LOGLOSS0.684044003487, F1 SCORE0.607575757576,
Round40, ROCAUC0.520408163265, LOGLOSS0.617262301766, F1 SCORE0.488993710692,
Round41, ROCAUC0.709195402299, LOGLOSS0.544652196821, F1 SCORE0.51392251816,
Round42, ROCAUC0.577972709552, LOGLOSS0.82935821093, F1 SCORE0.574545454545,
Round43, ROCAUC0.6, LOGLOSS0.741765864532, F1 SCORE0.427083333333,
Round44, ROCAUC0.77380952381, LOGLOSS0.506301631108, F1 SCORE0.539333805811,
Round45, ROCAUC0.665178571429, LOGLOSS0.52466972907, F1 SCORE0.6,
Round46, ROCAUC0.757407407407, LOGLOSS0.633632947156, F1 SCORE0.440476190476,
TOTAL All round, ROCAUC[0.70532915 0.37566138 0.60044643 0.81481481 0.49081633 0.57986111
 0.69680851 0.60162602 0.83714286 0.54482759 0.6962963  0.96078431
 0.62662338 0.58888889 0.67540984 0.58571429 0.74696356 0.65479876
 0.69375    0.73428571 0.76936027 0.64927048 0.68858561 0.72413793
 0.73407202 0.63888889 0.80409357 0.63813559 0.64772727 0.59782609
 0.41468254 0.6286117  0.63605442 0.52160494 0.65865385 0.73855311
 0.62296296 0.524      0.51473923 0.66666667 0.52040816 0.7091954
 0.57797271 0.6        0.77380952 0.66517857 0.75740741], LOGLOSS[0.58060739 0.66551924 0.67265487 0.63045937 0.64376972 0.7981994
 0.40031169 0.77338921 0.4315554  0.68061812 0.59044213 0.44343655
 0.7603418  0.58514555 0.54418067 1.53979234 0.57373232 0.63734263
 0.88910253 0.59986991 0.57246074 0.66937623 0.63928174 0.71047615
 0.68808424 0.80359686 0.60943924 0.63741358 0.67256457 1.19603017
 0.73308285 0.70126189 0.61351275 0.53023121 0.62901341 0.56599454
 0.66839197 0.62447431 0.68957111 0.684044   0.6172623  0.5446522
 0.82935821 0.74176586 0.50630163 0.52466973 0.63363295], F1 SCORE[0.49483352 0.4402439  0.56616502 0.5970894  0.54545455 0.39015152
 0.6074544  0.38157895 0.56       0.5875     0.66086957 0.54252199
 0.49066214 0.48484848 0.62881563 0.40216086 0.6749226  0.54903717
 0.64917541 0.675      0.68682097 0.63782696 0.63554987 0.49404762
 0.40771124 0.51123692 0.71969697 0.54123113 0.62931034 0.27626786
 0.45028409 0.58180484 0.5108046  0.45192308 0.60594315 0.68056628
 0.60606061 0.41567781 0.51069574 0.60757576 0.48899371 0.51392252
 0.57454545 0.42708333 0.53933381 0.6        0.44047619],
Mean Auc 0.651775492189,  Mean logloss 0.66971096333, Mean F1 0.541997361203,
