Round0, ROCAUC0.655172413793, LOGLOSS0.599555552565, F1 SCORE0.466666666667,
Round1, ROCAUC0.632275132275, LOGLOSS0.59418663251, F1 SCORE0.602597402597,
Round2, ROCAUC0.612723214286, LOGLOSS0.660929289392, F1 SCORE0.544827586207,
Round3, ROCAUC0.725308641975, LOGLOSS0.837129309116, F1 SCORE0.597089397089,
Round4, ROCAUC0.45, LOGLOSS0.829985080097, F1 SCORE0.484848484848,
Round5, ROCAUC0.574404761905, LOGLOSS0.74539545308, F1 SCORE0.446368243243,
Round6, ROCAUC0.744680851064, LOGLOSS0.450745872069, F1 SCORE0.634308510638,
Round7, ROCAUC0.678861788618, LOGLOSS0.569007434109, F1 SCORE0.643037974684,
Round8, ROCAUC0.638571428571, LOGLOSS0.584194076392, F1 SCORE0.513888888889,
Round9, ROCAUC0.515862068966, LOGLOSS1.08710470758, F1 SCORE0.516994633274,
Round10, ROCAUC0.707407407407, LOGLOSS0.545835262212, F1 SCORE0.566666666667,
Round11, ROCAUC0.588235294118, LOGLOSS0.578060142696, F1 SCORE0.422222222222,
Round12, ROCAUC0.756493506494, LOGLOSS0.784451392367, F1 SCORE0.522569444444,
Round13, ROCAUC0.644444444444, LOGLOSS0.556456149841, F1 SCORE0.51221719457,
Round14, ROCAUC0.662295081967, LOGLOSS0.626980789398, F1 SCORE0.615908591518,
Round15, ROCAUC0.656818181818, LOGLOSS0.915559993092, F1 SCORE0.31098339719,
Round16, ROCAUC0.585695006748, LOGLOSS0.561435332681, F1 SCORE0.488695652174,
Round17, ROCAUC0.705108359133, LOGLOSS0.612502339595, F1 SCORE0.53798256538,
Round18, ROCAUC0.696875, LOGLOSS0.61587531879, F1 SCORE0.617647058824,
Round19, ROCAUC0.725714285714, LOGLOSS0.617986569802, F1 SCORE0.547725245317,
Round20, ROCAUC0.606060606061, LOGLOSS0.677417195311, F1 SCORE0.480555555556,
Round21, ROCAUC0.624017957351, LOGLOSS0.82937272458, F1 SCORE0.475,
Round22, ROCAUC0.651985111663, LOGLOSS0.671779090375, F1 SCORE0.608125,
Round23, ROCAUC0.521446593776, LOGLOSS1.23911304765, F1 SCORE0.386096256684,
Round24, ROCAUC0.743767313019, LOGLOSS0.676318440782, F1 SCORE0.374891774892,
Round25, ROCAUC0.708333333333, LOGLOSS0.746952654866, F1 SCORE0.438775510204,
Round26, ROCAUC0.81432748538, LOGLOSS0.580293806018, F1 SCORE0.701831501832,
Round27, ROCAUC0.574576271186, LOGLOSS0.710654141782, F1 SCORE0.509477124183,
Round28, ROCAUC0.603693181818, LOGLOSS0.729970043482, F1 SCORE0.575657894737,
Round29, ROCAUC0.492391304348, LOGLOSS1.01031902953, F1 SCORE0.285714285714,
Round30, ROCAUC0.617063492063, LOGLOSS0.669964953217, F1 SCORE0.503846153846,
Round31, ROCAUC0.643410852713, LOGLOSS0.787338260304, F1 SCORE0.608919382504,
Round32, ROCAUC0.630102040816, LOGLOSS0.64701291493, F1 SCORE0.646753246753,
Round33, ROCAUC0.808641975309, LOGLOSS0.327810980151, F1 SCORE0.462264150943,
Round34, ROCAUC0.612179487179, LOGLOSS0.664090251825, F1 SCORE0.515103338633,
Round35, ROCAUC0.652014652015, LOGLOSS0.701682267226, F1 SCORE0.559127216053,
Round36, ROCAUC0.523703703704, LOGLOSS0.722393008379, F1 SCORE0.471186440678,
Round37, ROCAUC0.629333333333, LOGLOSS0.534102980105, F1 SCORE0.476055002371,
Round38, ROCAUC0.477702191988, LOGLOSS0.799846703922, F1 SCORE0.510695742471,
Round39, ROCAUC0.696428571429, LOGLOSS0.717165323528, F1 SCORE0.466346153846,
Round40, ROCAUC0.595025510204, LOGLOSS0.567218217483, F1 SCORE0.424778761062,
Round41, ROCAUC0.725287356322, LOGLOSS0.571226766256, F1 SCORE0.667203003486,
Round42, ROCAUC0.595516569201, LOGLOSS0.704860258332, F1 SCORE0.436666666667,
Round43, ROCAUC0.610416666667, LOGLOSS0.677364379168, F1 SCORE0.563275434243,
Round44, ROCAUC0.644841269841, LOGLOSS0.642016590144, F1 SCORE0.418604651163,
Round45, ROCAUC0.758928571429, LOGLOSS0.50296059344, F1 SCORE0.705263157895,
Round46, ROCAUC0.787037037037, LOGLOSS0.562572442788, F1 SCORE0.687147977471,
TOTAL All round, ROCAUC[0.65517241 0.63227513 0.61272321 0.72530864 0.45       0.57440476
 0.74468085 0.67886179 0.63857143 0.51586207 0.70740741 0.58823529
 0.75649351 0.64444444 0.66229508 0.65681818 0.58569501 0.70510836
 0.696875   0.72571429 0.60606061 0.62401796 0.65198511 0.52144659
 0.74376731 0.70833333 0.81432749 0.57457627 0.60369318 0.4923913
 0.61706349 0.64341085 0.63010204 0.80864198 0.61217949 0.65201465
 0.5237037  0.62933333 0.47770219 0.69642857 0.59502551 0.72528736
 0.59551657 0.61041667 0.64484127 0.75892857 0.78703704], LOGLOSS[0.59955555 0.59418663 0.66092929 0.83712931 0.82998508 0.74539545
 0.45074587 0.56900743 0.58419408 1.08710471 0.54583526 0.57806014
 0.78445139 0.55645615 0.62698079 0.91555999 0.56143533 0.61250234
 0.61587532 0.61798657 0.6774172  0.82937272 0.67177909 1.23911305
 0.67631844 0.74695265 0.58029381 0.71065414 0.72997004 1.01031903
 0.66996495 0.78733826 0.64701291 0.32781098 0.66409025 0.70168227
 0.72239301 0.53410298 0.7998467  0.71716532 0.56721822 0.57122677
 0.70486026 0.67736438 0.64201659 0.50296059 0.56257244], F1 SCORE[0.46666667 0.6025974  0.54482759 0.5970894  0.48484848 0.44636824
