Round0, ROCAUC0.489028213166, LOGLOSS0.685260733962, F1 MACRO0.52380952381, F1 POS0.333333333333, ACCURACY0.6, PRECISION0.524216524217, RECALL0.526645768025
Round1, ROCAUC0.351851851852, LOGLOSS0.669816713707, F1 MACRO0.440243902439, F1 POS0.1, ACCURACY0.647058823529, PRECISION0.445454545455, RECALL0.436507936508
Round2, ROCAUC0.341517857143, LOGLOSS0.699829495766, F1 MACRO0.34328358209, F1 POS0.0, ACCURACY0.522727272727, PRECISION0.294871794872, RECALL0.410714285714
Round3, ROCAUC0.543209876543, LOGLOSS0.692858732214, F1 MACRO0.454769736842, F1 POS0.315789473684, ACCURACY0.490196078431, PRECISION0.510227272727, RECALL0.506944444444
Round4, ROCAUC0.358163265306, LOGLOSS0.725325549744, F1 MACRO0.391955498502, F1 POS0.292682926829, ACCURACY0.408163265306, PRECISION0.429292929293, RECALL0.414285714286
Round5, ROCAUC0.598214285714, LOGLOSS0.691579258528, F1 MACRO0.609320557491, F1 POS0.682926829268, ACCURACY0.623188405797, PRECISION0.626050420168, RECALL0.64880952381
Round6, ROCAUC0.492021276596, LOGLOSS0.651539746198, F1 MACRO0.499732477261, F1 POS0.190476190476, ACCURACY0.690909090909, PRECISION0.505494505495, RECALL0.507978723404
Round7, ROCAUC0.60162601626, LOGLOSS0.62131796809, F1 MACRO0.623397435897, F1 POS0.375, ACCURACY0.787234042553, PRECISION0.609459459459, RECALL0.664634146341
Round8, ROCAUC0.522857142857, LOGLOSS0.658462364806, F1 MACRO0.445165476963, F1 POS0.173913043478, ACCURACY0.577777777778, PRECISION0.451923076923, RECALL0.442857142857
Round9, ROCAUC0.418620689655, LOGLOSS0.802675764318, F1 MACRO0.394109396914, F1 POS0.483870967742, ACCURACY0.407407407407, PRECISION0.408585055644, RECALL0.420689655172
Round10, ROCAUC0.659259259259, LOGLOSS0.598796696999, F1 MACRO0.492307692308, F1 POS0.153846153846, ACCURACY0.717948717949, PRECISION0.510714285714, RECALL0.505555555556
Round11, ROCAUC0.745098039216, LOGLOSS0.547281763301, F1 MACRO0.469387755102, F1 POS0.0, ACCURACY0.884615384615, PRECISION0.489361702128, RECALL0.450980392157
Round12, ROCAUC0.547077922078, LOGLOSS0.75046423316, F1 MACRO0.435763888889, F1 POS0.277777777778, ACCURACY0.48, PRECISION0.53869047619, RECALL0.521103896104
Round13, ROCAUC0.427777777778, LOGLOSS0.73508004753, F1 MACRO0.269298245614, F1 POS0.105263157895, ACCURACY0.30612244898, PRECISION0.462745098039, RECALL0.394444444444
Round14, ROCAUC0.389617486339, LOGLOSS0.645744188836, F1 MACRO0.495854063018, F1 POS0.111111111111, ACCURACY0.789473684211, PRECISION0.570776255708, RECALL0.51693989071
Round15, ROCAUC0.41038961039, LOGLOSS0.73642035457, F1 MACRO0.486959143676, F1 POS0.585858585859, ACCURACY0.506024096386, PRECISION0.496212121212, RECALL0.495779220779
Round16, ROCAUC0.431848852901, LOGLOSS0.735043726223, F1 MACRO0.352396972246, F1 POS0.241379310345, ACCURACY0.371428571429, PRECISION0.457777777778, RECALL0.435897435897
Round17, ROCAUC0.529411764706, LOGLOSS0.721691937941, F1 MACRO0.394285714286, F1 POS0.428571428571, ACCURACY0.396226415094, PRECISION0.443412162162, RECALL0.448142414861
Round18, ROCAUC0.721875, LOGLOSS0.698696228174, F1 MACRO0.405128205128, F1 POS0.553846153846, ACCURACY0.442307692308, PRECISION0.557142857143, RECALL0.528125
Round19, ROCAUC0.705714285714, LOGLOSS0.703684783899, F1 MACRO0.458333333333, F1 POS0.583333333333, ACCURACY0.487179487179, PRECISION0.705882352941, RECALL0.6
Round20, ROCAUC0.575757575758, LOGLOSS0.662805077492, F1 MACRO0.512266112266, F1 POS0.378378378378, ACCURACY0.549019607843, PRECISION0.512335526316, RECALL0.512626262626
Round21, ROCAUC0.469135802469, LOGLOSS0.709284695983, F1 MACRO0.423076923077, F1 POS0.5, ACCURACY0.433333333333, PRECISION0.444159178434, RECALL0.451178451178
Round22, ROCAUC0.68982630273, LOGLOSS0.702589546902, F1 MACRO0.381593714927, F1 POS0.641975308642, ACCURACY0.491228070175, PRECISION0.736363636364, RECALL0.532258064516
Round23, ROCAUC0.392767031119, LOGLOSS0.727539734755, F1 MACRO0.458045616238, F1 POS0.543209876543, ACCURACY0.471428571429, PRECISION0.458333333333, RECALL0.457947855341
Round24, ROCAUC0.562326869806, LOGLOSS0.694393801062, F1 MACRO0.467787114846, F1 POS0.52380952381, ACCURACY0.473684210526, PRECISION0.472463768116, RECALL0.473684210526
Round25, ROCAUC0.50625, LOGLOSS0.68990602741, F1 MACRO0.502155172414, F1 POS0.625, ACCURACY0.532467532468, PRECISION0.505656108597, RECALL0.505208333333
Round26, ROCAUC0.545321637427, LOGLOSS0.687196295004, F1 MACRO0.535107169254, F1 POS0.585365853659, ACCURACY0.540540540541, PRECISION0.539393939394, RECALL0.538011695906
Round27, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.20202020202, F1 POS0.40404040404, ACCURACY0.253164556962, PRECISION0.126582278481, RECALL0.5
Round28, ROCAUC0.573863636364, LOGLOSS0.768951629483, F1 MACRO0.331111111111, F1 POS0.44, ACCURACY0.348837209302, PRECISION0.641025641026, RECALL0.5625
Round29, ROCAUC0.498913043478, LOGLOSS0.746032900753, F1 MACRO0.481481481481, F1 POS0.407407407407, ACCURACY0.492063492063, PRECISION0.59693877551, RECALL0.572282608696
Round30, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.14, F1 POS0.28, ACCURACY0.162790697674, PRECISION0.0813953488372, RECALL0.5
Round31, ROCAUC0.531007751938, LOGLOSS0.689491178644, F1 MACRO0.515217787498, F1 POS0.406779661017, ACCURACY0.539473684211, PRECISION0.520769230769, RECALL0.519027484144
Round32, ROCAUC0.475340136054, LOGLOSS0.653154769114, F1 MACRO0.547474747475, F1 POS0.272727272727, ACCURACY0.714285714286, PRECISION0.572916666667, RECALL0.547619047619
Round33, ROCAUC0.586419753086, LOGLOSS0.638267951053, F1 MACRO0.419444444444, F1 POS0.0833333333333, ACCURACY0.614035087719, PRECISION0.496031746032, RECALL0.481481481481
Round34, ROCAUC0.41266025641, LOGLOSS0.715634291778, F1 MACRO0.334917528655, F1 POS0.204081632653, ACCURACY0.360655737705, PRECISION0.409444444444, RECALL0.369391025641
Round35, ROCAUC0.675366300366, LOGLOSS0.67937640213, F1 MACRO0.575581395349, F1 POS0.5, ACCURACY0.58904109589, PRECISION0.60407239819, RECALL0.626373626374
Round36, ROCAUC0.586666666667, LOGLOSS0.68462376755, F1 MACRO0.519052904181, F1 POS0.509803921569, ACCURACY0.519230769231, PRECISION0.519230769231, RECALL0.519259259259
Round37, ROCAUC0.529333333333, LOGLOSS0.598697340947, F1 MACRO0.460463084316, F1 POS0.0952380952381, ACCURACY0.707692307692, PRECISION0.464689265537, RECALL0.483333333333
Round38, ROCAUC0.528344671202, LOGLOSS0.652585818971, F1 MACRO0.392, F1 POS0.0, ACCURACY0.644736842105, PRECISION0.322368421053, RECALL0.5
Round39, ROCAUC0.386904761905, LOGLOSS0.711557863532, F1 MACRO0.404970760234, F1 POS0.421052631579, ACCURACY0.405405405405, PRECISION0.410294117647, RECALL0.409226190476
Round40, ROCAUC0.639030612245, LOGLOSS0.685986094291, F1 MACRO0.566666666667, F1 POS0.4, ACCURACY0.630769230769, PRECISION0.569105691057, RECALL0.586734693878
Round41, ROCAUC0.510344827586, LOGLOSS0.68159300987, F1 MACRO0.479500891266, F1 POS0.272727272727, ACCURACY0.561643835616, PRECISION0.501175548589, RECALL0.501724137931
Round42, ROCAUC0.557992202729, LOGLOSS0.680169893687, F1 MACRO0.511278195489, F1 POS0.285714285714, ACCURACY0.615384615385, PRECISION0.61951754386, RECALL0.553118908382
