Round0, ROCAUC0.746081504702, LOGLOSS0.521906196699, F1 SCORE0.5670995671,
Round1, ROCAUC0.534391534392, LOGLOSS0.649317565502, F1 SCORE0.458494208494,
Round2, ROCAUC0.635044642857, LOGLOSS0.674309092489, F1 SCORE0.603603603604,
Round3, ROCAUC0.746141975309, LOGLOSS0.677635457294, F1 SCORE0.554677754678,
Round4, ROCAUC0.680612244898, LOGLOSS0.602173476195, F1 SCORE0.591666666667,
Round5, ROCAUC0.553571428571, LOGLOSS1.27754826657, F1 SCORE0.289594742607,
Round6, ROCAUC0.670212765957, LOGLOSS0.533011851773, F1 SCORE0.535024154589,
Round7, ROCAUC0.85162601626, LOGLOSS0.633611207313, F1 SCORE0.593073593074,
Round8, ROCAUC0.734285714286, LOGLOSS0.479447291046, F1 SCORE0.543918918919,
Round9, ROCAUC0.544827586207, LOGLOSS0.681048152623, F1 SCORE0.5875,
Round10, ROCAUC0.677777777778, LOGLOSS0.629075457652, F1 SCORE0.62012987013,
Round11, ROCAUC0.764705882353, LOGLOSS0.610591514752, F1 SCORE0.482954545455,
Round12, ROCAUC0.782467532468, LOGLOSS0.804058272094, F1 SCORE0.380952380952,
Round13, ROCAUC0.655555555556, LOGLOSS0.662855222517, F1 SCORE0.445036642239,
Round14, ROCAUC0.813114754098, LOGLOSS0.539354941367, F1 SCORE0.709702062643,
Round15, ROCAUC0.666233766234, LOGLOSS1.68127680244, F1 SCORE0.405788271135,
Round16, ROCAUC0.746963562753, LOGLOSS0.573778426221, F1 SCORE0.674922600619,
Round17, ROCAUC0.654024767802, LOGLOSS0.621798370244, F1 SCORE0.56688172043,
Round18, ROCAUC0.703125, LOGLOSS0.828211910629, F1 SCORE0.670026129153,
Round19, ROCAUC0.565714285714, LOGLOSS0.663250689992, F1 SCORE0.556818181818,
Round20, ROCAUC0.685185185185, LOGLOSS0.662635521561, F1 SCORE0.661988304094,
Round21, ROCAUC0.649270482604, LOGLOSS0.66937623024, F1 SCORE0.637826961771,
Round22, ROCAUC0.712158808933, LOGLOSS0.650713473591, F1 SCORE0.635549872123,
Round23, ROCAUC0.611438183347, LOGLOSS0.934768315484, F1 SCORE0.504166666667,
Round24, ROCAUC0.753462603878, LOGLOSS0.636671844282, F1 SCORE0.680672268908,
Round25, ROCAUC0.59375, LOGLOSS1.1354270303, F1 SCORE0.332202111614,
Round26, ROCAUC0.701754385965, LOGLOSS0.650516024715, F1 SCORE0.574712643678,
Round27, ROCAUC0.627118644068, LOGLOSS0.637754202832, F1 SCORE0.57444516268,
Round28, ROCAUC0.715909090909, LOGLOSS0.563334888497, F1 SCORE0.633522727273,
Round29, ROCAUC0.545652173913, LOGLOSS0.976477884229, F1 SCORE0.25,
Round30, ROCAUC0.511904761905, LOGLOSS0.691149719233, F1 SCORE0.479838709677,
Round31, ROCAUC0.6088794926, LOGLOSS0.675191366555, F1 SCORE0.575571969015,
Round32, ROCAUC0.707482993197, LOGLOSS0.551673839334, F1 SCORE0.522727272727,
Round33, ROCAUC0.586419753086, LOGLOSS0.459831102375, F1 SCORE0.596698113208,
Round34, ROCAUC0.689102564103, LOGLOSS0.604381372206, F1 SCORE0.633021390374,
Round35, ROCAUC0.546245421245, LOGLOSS0.705183694012, F1 SCORE0.587391304348,
Round36, ROCAUC0.564444444444, LOGLOSS1.45371467919, F1 SCORE0.364661654135,
Round37, ROCAUC0.574666666667, LOGLOSS0.600014146074, F1 SCORE0.602660913341,
Round38, ROCAUC0.520786092215, LOGLOSS1.02295464377, F1 SCORE0.534377127297,
Round39, ROCAUC0.738095238095, LOGLOSS0.699069379955, F1 SCORE0.607575757576,
Round40, ROCAUC0.491071428571, LOGLOSS0.643949561853, F1 SCORE0.430476190476,
Round41, ROCAUC0.712643678161, LOGLOSS0.56813181753, F1 SCORE0.51392251816,
Round42, ROCAUC0.598440545809, LOGLOSS0.82205411276, F1 SCORE0.619883040936,
Round43, ROCAUC0.641666666667, LOGLOSS0.727072872645, F1 SCORE0.508928571429,
Round44, ROCAUC0.718253968254, LOGLOSS0.559531978667, F1 SCORE0.577647823262,
Round45, ROCAUC0.734375, LOGLOSS0.590353979833, F1 SCORE0.577574967405,
Round46, ROCAUC0.712962962963, LOGLOSS0.662164628506, F1 SCORE0.729885057471,
TOTAL All round, ROCAUC[0.7460815  0.53439153 0.63504464 0.74614198 0.68061224 0.55357143
 0.67021277 0.85162602 0.73428571 0.54482759 0.67777778 0.76470588
 0.78246753 0.65555556 0.81311475 0.66623377 0.74696356 0.65402477
 0.703125   0.56571429 0.68518519 0.64927048 0.71215881 0.61143818
 0.7534626  0.59375    0.70175439 0.62711864 0.71590909 0.54565217
 0.51190476 0.60887949 0.70748299 0.58641975 0.68910256 0.54624542
 0.56444444 0.57466667 0.52078609 0.73809524 0.49107143 0.71264368
 0.59844055 0.64166667 0.71825397 0.734375   0.71296296], LOGLOSS[0.5219062  0.64931757 0.67430909 0.67763546 0.60217348 1.27754827
 0.53301185 0.63361121 0.47944729 0.68104815 0.62907546 0.61059151
 0.80405827 0.66285522 0.53935494 1.6812768  0.57377843 0.62179837
 0.82821191 0.66325069 0.66263552 0.66937623 0.65071347 0.93476832
 0.63667184 1.13542703 0.65051602 0.6377542  0.56333489 0.97647788
 0.69114972 0.67519137 0.55167384 0.4598311  0.60438137 0.70518369
 1.45371468 0.60001415 1.02295464 0.69906938 0.64394956 0.56813182
 0.82205411 0.72707287 0.55953198 0.59035398 0.66216463], F1 SCORE[0.56709957 0.45849421 0.6036036  0.55467775 0.59166667 0.28959474
 0.53502415 0.59307359 0.54391892 0.5875     0.62012987 0.48295455
 0.38095238 0.44503664 0.70970206 0.40578827 0.6749226  0.56688172
 0.67002613 0.55681818 0.6619883  0.63782696 0.63554987 0.50416667
 0.68067227 0.33220211 0.57471264 0.57444516 0.63352273 0.25
 0.47983871 0.57557197 0.52272727 0.59669811 0.63302139 0.5873913
 0.36466165 0.60266091 0.53437713 0.60757576 0.43047619 0.51392252
 0.61988304 0.50892857 0.57764782 0.57757497 0.72988506],
Mean Auc 0.65914084117,  Mean logloss 0.721241669695, Mean F1 0.548633930084,
