Round0, ROCAUC0.470219435737, LOGLOSS0.677042999864, F1 MACRO0.515738498789, F1 POS0.285714285714, ACCURACY0.625, PRECISION0.516666666667, RECALL0.515673981191
Round1, ROCAUC0.328042328042, LOGLOSS0.684871428153, F1 MACRO0.380566801619, F1 POS0.0769230769231, ACCURACY0.529411764706, PRECISION0.411764705882, RECALL0.365079365079
Round2, ROCAUC0.301339285714, LOGLOSS0.723902715878, F1 MACRO0.36231884058, F1 POS0.0, ACCURACY0.568181818182, PRECISION0.30487804878, RECALL0.446428571429
Round3, ROCAUC0.461419753086, LOGLOSS0.697952335956, F1 MACRO0.424193548387, F1 POS0.3, ACCURACY0.450980392157, PRECISION0.454453441296, RECALL0.465277777778
Round4, ROCAUC0.50306122449, LOGLOSS0.683379415347, F1 MACRO0.363636363636, F1 POS0.0, ACCURACY0.571428571429, PRECISION0.333333333333, RECALL0.4
Round5, ROCAUC0.613095238095, LOGLOSS0.68111873796, F1 MACRO0.57280440266, F1 POS0.696629213483, ACCURACY0.608695652174, PRECISION0.574477351916, RECALL0.584821428571
Round6, ROCAUC0.48670212766, LOGLOSS0.706930110671, F1 MACRO0.384254243409, F1 POS0.205128205128, ACCURACY0.436363636364, PRECISION0.481182795699, RECALL0.462765957447
Round7, ROCAUC0.585365853659, LOGLOSS0.523445764121, F1 MACRO0.59011627907, F1 POS0.25, ACCURACY0.872340425532, PRECISION0.694444444444, RECALL0.571138211382
Round8, ROCAUC0.714285714286, LOGLOSS0.597979245583, F1 MACRO0.602272727273, F1 POS0.416666666667, ACCURACY0.688888888889, PRECISION0.597926267281, RECALL0.621428571429
Round9, ROCAUC0.526896551724, LOGLOSS0.70042746045, F1 MACRO0.578125, F1 POS0.5, ACCURACY0.592592592593, PRECISION0.589473684211, RECALL0.582068965517
Round10, ROCAUC0.744444444444, LOGLOSS0.669372066473, F1 MACRO0.528225806452, F1 POS0.25, ACCURACY0.692307692308, PRECISION0.533482142857, RECALL0.527777777778
Round11, ROCAUC0.470588235294, LOGLOSS0.556343950904, F1 MACRO0.469387755102, F1 POS0.0, ACCURACY0.884615384615, PRECISION0.489361702128, RECALL0.450980392157
Round12, ROCAUC0.472402597403, LOGLOSS0.707160001993, F1 MACRO0.40057875155, F1 POS0.292682926829, ACCURACY0.42, PRECISION0.433471933472, RECALL0.448051948052
Round13, ROCAUC0.638888888889, LOGLOSS0.615978584606, F1 MACRO0.567068273092, F1 POS0.266666666667, ACCURACY0.775510204082, PRECISION0.564593301435, RECALL0.65
Round14, ROCAUC0.720218579235, LOGLOSS0.530024973578, F1 MACRO0.539393939394, F1 POS0.2, ACCURACY0.789473684211, PRECISION0.608450704225, RECALL0.542076502732
Round15, ROCAUC0.445454545455, LOGLOSS0.73159463183, F1 MACRO0.46357226792, F1 POS0.521739130435, ACCURACY0.469879518072, PRECISION0.487367802585, RECALL0.486038961039
Round16, ROCAUC0.547908232119, LOGLOSS0.662157363551, F1 MACRO0.561904761905, F1 POS0.342857142857, ACCURACY0.671428571429, PRECISION0.563446969697, RECALL0.590418353576
Round17, ROCAUC0.522445820433, LOGLOSS0.716061261465, F1 MACRO0.41715542522, F1 POS0.516129032258, ACCURACY0.433962264151, PRECISION0.536046511628, RECALL0.52399380805
Round18, ROCAUC0.73046875, LOGLOSS0.688477595265, F1 MACRO0.532233883058, F1 POS0.586206896552, ACCURACY0.538461538462, PRECISION0.616541353383, RECALL0.596875
Round19, ROCAUC0.605714285714, LOGLOSS0.693893755094, F1 MACRO0.587301587302, F1 POS0.619047619048, ACCURACY0.589743589744, PRECISION0.686688311688, RECALL0.664285714286
Round20, ROCAUC0.409090909091, LOGLOSS0.696649194348, F1 MACRO0.507722007722, F1 POS0.285714285714, ACCURACY0.607843137255, PRECISION0.529268292683, RECALL0.520202020202
Round21, ROCAUC0.455106621773, LOGLOSS0.716149449348, F1 MACRO0.400705052879, F1 POS0.540540540541, ACCURACY0.433333333333, PRECISION0.443535188216, RECALL0.461279461279
Round22, ROCAUC0.524193548387, LOGLOSS0.695735270517, F1 MACRO0.45981045981, F1 POS0.649350649351, ACCURACY0.526315789474, PRECISION0.661764705882, RECALL0.56141439206
Round23, ROCAUC0.613120269134, LOGLOSS0.669256426181, F1 MACRO0.547803617571, F1 POS0.651162790698, ACCURACY0.571428571429, PRECISION0.551111111111, RECALL0.548359966358
Round24, ROCAUC0.498614958449, LOGLOSS0.693464519162, F1 MACRO0.437632135307, F1 POS0.511627906977, ACCURACY0.447368421053, PRECISION0.443452380952, RECALL0.447368421053
Round25, ROCAUC0.472222222222, LOGLOSS0.693035823184, F1 MACRO0.492013888889, F1 POS0.577777777778, ACCURACY0.506493506494, PRECISION0.492013888889, RECALL0.492013888889
Round26, ROCAUC0.536549707602, LOGLOSS0.686286602471, F1 MACRO0.589800443459, F1 POS0.634146341463, ACCURACY0.594594594595, PRECISION0.595454545455, RECALL0.592105263158
