Round0, ROCAUC0.510971786834, LOGLOSS0.669738607854, F1 MACRO0.52380952381, F1 POS0.333333333333, ACCURACY0.6, PRECISION0.524216524217, RECALL0.526645768025
Round1, ROCAUC0.386243386243, LOGLOSS0.655528297611, F1 MACRO0.478409090909, F1 POS0.181818181818, ACCURACY0.647058823529, PRECISION0.484817813765, RECALL0.480158730159
Round2, ROCAUC0.344866071429, LOGLOSS0.696465573528, F1 MACRO0.323076923077, F1 POS0.0, ACCURACY0.477272727273, PRECISION0.283783783784, RECALL0.375
Round3, ROCAUC0.418209876543, LOGLOSS0.707959954645, F1 MACRO0.392857142857, F1 POS0.285714285714, ACCURACY0.411764705882, PRECISION0.408333333333, RECALL0.423611111111
Round4, ROCAUC0.344897959184, LOGLOSS0.710523593182, F1 MACRO0.410207029369, F1 POS0.193548387097, ACCURACY0.489795918367, PRECISION0.416360294118, RECALL0.407142857143
Round5, ROCAUC0.611111111111, LOGLOSS0.694814287234, F1 MACRO0.59649122807, F1 POS0.666666666667, ACCURACY0.608695652174, PRECISION0.617424242424, RECALL0.638392857143
Round6, ROCAUC0.367021276596, LOGLOSS0.745555448532, F1 MACRO0.180734856008, F1 POS0.210526315789, ACCURACY0.181818181818, PRECISION0.394557823129, RECALL0.417553191489
Round7, ROCAUC0.426829268293, LOGLOSS0.608191821803, F1 MACRO0.426829268293, F1 POS0.0, ACCURACY0.744680851064, PRECISION0.426829268293, RECALL0.426829268293
Round8, ROCAUC0.562857142857, LOGLOSS0.654464554787, F1 MACRO0.545454545455, F1 POS0.333333333333, ACCURACY0.644444444444, PRECISION0.546082949309, RECALL0.557142857143
Round9, ROCAUC0.510344827586, LOGLOSS0.696962268264, F1 MACRO0.512781954887, F1 POS0.368421052632, ACCURACY0.555555555556, PRECISION0.549718574109, RECALL0.536551724138
Round10, ROCAUC0.662962962963, LOGLOSS0.584660673753, F1 MACRO0.628571428571, F1 POS0.4, ACCURACY0.769230769231, PRECISION0.659090909091, RECALL0.616666666667
