Round0, ROCAUC0.512539184953, LOGLOSS0.661515934765, F1 MACRO0.498432601881, F1 POS0.272727272727, ACCURACY0.6, PRECISION0.498432601881, RECALL0.498432601881
Round1, ROCAUC0.330687830688, LOGLOSS0.665413952926, F1 MACRO0.466703357182, F1 POS0.173913043478, ACCURACY0.627450980392, PRECISION0.476833976834, RECALL0.468253968254
Round2, ROCAUC0.387276785714, LOGLOSS0.692980989814, F1 MACRO0.399503722084, F1 POS0.153846153846, ACCURACY0.5, PRECISION0.394117647059, RECALL0.419642857143
Round3, ROCAUC0.463734567901, LOGLOSS0.707756971612, F1 MACRO0.367852858856, F1 POS0.243902439024, ACCURACY0.392156862745, PRECISION0.381274131274, RECALL0.405092592593
Round4, ROCAUC0.498979591837, LOGLOSS0.722594708204, F1 MACRO0.440591966173, F1 POS0.372093023256, ACCURACY0.448979591837, PRECISION0.487931034483, RECALL0.485714285714
Round5, ROCAUC0.582341269841, LOGLOSS0.691095815621, F1 MACRO0.576086956522, F1 POS0.717391304348, ACCURACY0.623188405797, PRECISION0.575, RECALL0.581845238095
Round6, ROCAUC0.577127659574, LOGLOSS0.702548658306, F1 MACRO0.410714285714, F1 POS0.25, ACCURACY0.454545454545, PRECISION0.512907608696, RECALL0.525265957447
Round7, ROCAUC0.512195121951, LOGLOSS0.53597391476, F1 MACRO0.726744186047, F1 POS0.5, ACCURACY0.914893617021, PRECISION0.955555555556, RECALL0.666666666667
Round8, ROCAUC0.625714285714, LOGLOSS0.612112271123, F1 MACRO0.55, F1 POS0.3, ACCURACY0.688888888889, PRECISION0.55, RECALL0.55
Round9, ROCAUC0.415172413793, LOGLOSS0.71866947854, F1 MACRO0.461300309598, F1 POS0.491228070175, ACCURACY0.462962962963, PRECISION0.46875, RECALL0.469655172414
Round10, ROCAUC0.516666666667, LOGLOSS0.673173980835, F1 MACRO0.4, F1 POS0.0, ACCURACY0.666666666667, PRECISION0.371428571429, RECALL0.433333333333
Round11, ROCAUC0.450980392157, LOGLOSS0.588989338623, F1 MACRO0.48, F1 POS0.0, ACCURACY0.923076923077, PRECISION0.489795918367, RECALL0.470588235294
Round12, ROCAUC0.38474025974, LOGLOSS0.710848232508, F1 MACRO0.408404732762, F1 POS0.325581395349, ACCURACY0.42, PRECISION0.433333333333, RECALL0.443181818182
Round13, ROCAUC0.458333333333, LOGLOSS0.71715086212, F1 MACRO0.0986622073579, F1 POS0.153846153846, ACCURACY0.102040816327, PRECISION0.541666666667, RECALL0.511111111111
Round14, ROCAUC0.462841530055, LOGLOSS0.682567727409, F1 MACRO0.446298472385, F1 POS0.162162162162, ACCURACY0.592105263158, PRECISION0.457070707071, RECALL0.444262295082
Round15, ROCAUC0.52987012987, LOGLOSS0.69861922458, F1 MACRO0.522121212121, F1 POS0.62, ACCURACY0.542168674699, PRECISION0.52865497076, RECALL0.531818181818
Round16, ROCAUC0.585695006748, LOGLOSS0.721567903672, F1 MACRO0.408369408369, F1 POS0.349206349206, ACCURACY0.414285714286, PRECISION0.56, RECALL0.580971659919
Round17, ROCAUC0.448916408669, LOGLOSS0.725947986234, F1 MACRO0.415094339623, F1 POS0.415094339623, ACCURACY0.415094339623, PRECISION0.451238390093, RECALL0.451238390093
Round18, ROCAUC0.740625, LOGLOSS0.691182765823, F1 MACRO0.460925039872, F1 POS0.606060606061, ACCURACY0.5, PRECISION0.717391304348, RECALL0.59375
Round19, ROCAUC0.77, LOGLOSS0.673393918918, F1 MACRO0.559468438538, F1 POS0.604651162791, ACCURACY0.564102564103, PRECISION0.674137931034, RECALL0.644285714286
Round20, ROCAUC0.405723905724, LOGLOSS0.707093851823, F1 MACRO0.395256916996, F1 POS0.181818181818, ACCURACY0.470588235294, PRECISION0.391666666667, RECALL0.401515151515
Round21, ROCAUC0.472502805836, LOGLOSS0.737510329485, F1 MACRO0.377777777778, F1 POS0.533333333333, ACCURACY0.416666666667, PRECISION0.416666666667, RECALL0.446127946128
Round22, ROCAUC0.528535980149, LOGLOSS0.735047580903, F1 MACRO0.348323170732, F1 POS0.634146341463, ACCURACY0.473684210526, PRECISION0.732142857143, RECALL0.516129032258
Round23, ROCAUC0.592094196804, LOGLOSS0.678609467404, F1 MACRO0.529015979815, F1 POS0.609756097561, ACCURACY0.542857142857, PRECISION0.529015979815, RECALL0.529015979815
Round24, ROCAUC0.454293628809, LOGLOSS0.728420214433, F1 MACRO0.414526779164, F1 POS0.553191489362, ACCURACY0.447368421053, PRECISION0.432142857143, RECALL0.447368421053
Round25, ROCAUC0.408333333333, LOGLOSS0.706777571858, F1 MACRO0.474497126437, F1 POS0.604166666667, ACCURACY0.506493506494, PRECISION0.476621417798, RECALL0.478472222222
Round26, ROCAUC0.684210526316, LOGLOSS0.658593845529, F1 MACRO0.639159789947, F1 POS0.697674418605, ACCURACY0.648648648649, PRECISION0.658653846154, RECALL0.644736842105
Round27, ROCAUC0.548305084746, LOGLOSS0.620093946215, F1 MACRO0.530958439355, F1 POS0.222222222222, ACCURACY0.73417721519, PRECISION0.59623015873, RECALL0.541101694915
Round28, ROCAUC0.565340909091, LOGLOSS0.693848876066, F1 MACRO0.481359649123, F1 POS0.421052631579, ACCURACY0.488372093023, PRECISION0.554398148148, RECALL0.566761363636
Round29, ROCAUC0.301630434783, LOGLOSS0.753814331123, F1 MACRO0.270401292755, F1 POS0.0851063829787, ACCURACY0.31746031746, PRECISION0.303571428571, RECALL0.416304347826
Round30, ROCAUC0.436507936508, LOGLOSS0.691121805546, F1 MACRO0.385714285714, F1 POS0.2, ACCURACY0.441860465116, PRECISION0.465217391304, RECALL0.436507936508
Round31, ROCAUC0.539464411557, LOGLOSS0.690718140257, F1 MACRO0.525593008739, F1 POS0.444444444444, ACCURACY0.539473684211, PRECISION0.526811594203, RECALL0.526074700493
Round32, ROCAUC0.414115646259, LOGLOSS0.680986379938, F1 MACRO0.499105545617, F1 POS0.230769230769, ACCURACY0.642857142857, PRECISION0.5, RECALL0.5
Round33, ROCAUC0.543209876543, LOGLOSS0.648469951592, F1 MACRO0.436758893281, F1 POS0.0909090909091, ACCURACY0.649122807018, PRECISION0.5, RECALL0.5
Round34, ROCAUC0.326121794872, LOGLOSS0.694512346729, F1 MACRO0.372917405175, F1 POS0.0645161290323, ACCURACY0.524590163934, PRECISION0.388242894057, RECALL0.361378205128
Round35, ROCAUC0.505952380952, LOGLOSS0.704500679692, F1 MACRO0.459259259259, F1 POS0.4, ACCURACY0.465753424658, PRECISION0.509796238245, RECALL0.511446886447
Round36, ROCAUC0.601481481481, LOGLOSS0.67753357039, F1 MACRO0.556215213358, F1 POS0.530612244898, ACCURACY0.557692307692, PRECISION0.556547619048, RECALL0.556296296296
Round37, ROCAUC0.597333333333, LOGLOSS0.609857922792, F1 MACRO0.529523809524, F1 POS0.24, ACCURACY0.707692307692, PRECISION0.540909090909, RECALL0.53
Round38, ROCAUC0.44142101285, LOGLOSS0.682766211268, F1 MACRO0.465395960971, F1 POS0.205128205128, ACCURACY0.592105263158, PRECISION0.486979166667, RECALL0.492441421013
Round39, ROCAUC0.386904761905, LOGLOSS0.721019789174, F1 MACRO0.404597701149, F1 POS0.533333333333, ACCURACY0.432432432432, PRECISION0.403846153846, RECALL0.410714285714
Round40, ROCAUC0.671556122449, LOGLOSS0.647429917409, F1 MACRO0.597588791137, F1 POS0.387096774194, ACCURACY0.707692307692, PRECISION0.6, RECALL0.595663265306
Round41, ROCAUC0.535057471264, LOGLOSS0.685059040377, F1 MACRO0.479500891266, F1 POS0.272727272727, ACCURACY0.561643835616, PRECISION0.501175548589, RECALL0.501724137931
Round42, ROCAUC0.552144249513, LOGLOSS0.679552957186, F1 MACRO0.489973844813, F1 POS0.27027027027, ACCURACY0.584615384615, PRECISION0.55, RECALL0.526803118908
Round43, ROCAUC0.491666666667, LOGLOSS0.692025281489, F1 MACRO0.47619047619, F1 POS0.285714285714, ACCURACY0.545454545455, PRECISION0.527777777778, RECALL0.516666666667
Round44, ROCAUC0.501984126984, LOGLOSS0.63668574214, F1 MACRO0.592074592075, F1 POS0.363636363636, ACCURACY0.72, PRECISION0.630952380952, RECALL0.587301587302
Round45, ROCAUC0.379464285714, LOGLOSS0.742694460683, F1 MACRO0.393744987971, F1 POS0.275862068966, ACCURACY0.416666666667, PRECISION0.461904761905, RECALL0.446428571429
Round46, ROCAUC0.619444444444, LOGLOSS0.673247675946, F1 MACRO0.668346774194, F1 POS0.5625, ACCURACY0.702127659574, PRECISION0.717857142857, RECALL0.669444444444
TOTAL All round, ROCAUC0.505515707406, LOGLOSS0.684512691997, F1 MACRO0.465767073566, F1 POS0.353440233096, ACCURACY0.546610735781, PRECISION0.520949960342, RECALL0.507053927753
