
task_gain_margin,0.0,baseline_alpha,1.0,tasks_list_,(1, 2, 3, 4),how_task_split,0,seed,27,early_stopping_rounds,100,silent,1,min_task_gain,0.0,task_num_for_init_vec,5,nthread,8,min_child_weight,1,use_task_gain_self,0,objective,binary:logistic,when_task_split,1,max_depth,7,reg_alpha,0.0005,eval_metric,auc,colsample_bylevel,0.8,scale_pos_weight,1,learning_rate,0.03,task_num_for_OLF,4,n_estimators,1000,max_neg_sample_ratio,0.5,tree_method,exact,baseline_lambda,1.0,colsample_bytree,1.0,subsample,0.9,reg_lambda,12,debug,0,which_task_value,2,gamma,0.45,
task,auc,
1,0.795396419437,0.577525295131
2,0.76726342711,0.609773495141
3,0.911616161616,0.402662828192
4,0.88,0.484914846439
all,0.832706766917,0.511509144364,

task_gain_margin,0.0,baseline_alpha,1.0,tasks_list_,(1, 2, 3, 4),how_task_split,0,seed,27,early_stopping_rounds,100,silent,1,min_task_gain,0.0,task_num_for_init_vec,5,nthread,8,min_child_weight,1,use_task_gain_self,0,objective,binary:logistic,when_task_split,1,max_depth,7,reg_alpha,0.0005,eval_metric,auc,colsample_bylevel,0.8,scale_pos_weight,1,learning_rate,0.03,task_num_for_OLF,4,n_estimators,1000,max_neg_sample_ratio,0.5,tree_method,exact,baseline_lambda,1.0,colsample_bytree,1.0,subsample,0.9,reg_lambda,12,debug,0,which_task_value,2,gamma,0.4,
task,auc,
1,0.808184143223,0.550089567574
2,0.769820971867,0.605078111403
3,0.916666666667,0.39345748222
4,0.875,0.496290254407
all,0.83865914787,0.504906556243,

