Round0, ROCAUC0.680250783699, LOGLOSS0.600149320695, F1 SCORE0.666666666667,
Round1, ROCAUC0.486772486772, LOGLOSS0.613618582487, F1 SCORE0.37037037037,
Round2, ROCAUC0.561383928571, LOGLOSS0.670713304119, F1 SCORE0.544827586207,
Round3, ROCAUC0.753086419753, LOGLOSS0.665460446302, F1 SCORE0.722826086957,
Round4, ROCAUC0.475510204082, LOGLOSS0.67165094979, F1 SCORE0.371794871795,
Round5, ROCAUC0.450396825397, LOGLOSS1.15085311871, F1 SCORE0.278745644599,
Round6, ROCAUC0.715425531915, LOGLOSS0.481383857673, F1 SCORE0.590773809524,
Round7, ROCAUC0.739837398374, LOGLOSS0.678192505811, F1 SCORE0.506357103372,
Round8, ROCAUC0.817142857143, LOGLOSS0.484683052036, F1 SCORE0.595404595405,
Round9, ROCAUC0.527586206897, LOGLOSS0.783487368237, F1 SCORE0.471624266145,
Round10, ROCAUC0.614814814815, LOGLOSS0.54425282614, F1 SCORE0.507575757576,
Round11, ROCAUC0.745098039216, LOGLOSS0.628193409299, F1 SCORE0.482954545455,
Round12, ROCAUC0.631493506494, LOGLOSS1.4696188887, F1 SCORE0.32211313698,
Round13, ROCAUC0.588888888889, LOGLOSS0.427931440766, F1 SCORE0.436781609195,
Round14, ROCAUC0.749726775956, LOGLOSS0.453391023728, F1 SCORE0.64094488189,
Round15, ROCAUC0.556818181818, LOGLOSS0.89053815316, F1 SCORE0.356389578164,
Round16, ROCAUC0.717273954116, LOGLOSS0.508174714659, F1 SCORE0.489981785064,
Round17, ROCAUC0.761609907121, LOGLOSS0.575066974703, F1 SCORE0.674561403509,
Round18, ROCAUC0.69375, LOGLOSS0.842965293667, F1 SCORE0.511278195489,
Round19, ROCAUC0.602857142857, LOGLOSS0.696753629125, F1 SCORE0.475889328063,
Round20, ROCAUC0.545454545455, LOGLOSS0.71019923687, F1 SCORE0.588709677419,
Round21, ROCAUC0.649270482604, LOGLOSS0.66937623024, F1 SCORE0.637826961771,
Round22, ROCAUC0.602977667494, LOGLOSS0.69913482483, F1 SCORE0.485800200468,
Round23, ROCAUC0.646761984861, LOGLOSS0.761784507441, F1 SCORE0.491595766757,
Round24, ROCAUC0.749307479224, LOGLOSS0.64702431936, F1 SCORE0.684210526316,
Round25, ROCAUC0.579166666667, LOGLOSS0.777081976076, F1 SCORE0.369693508471,
Round26, ROCAUC0.690058479532, LOGLOSS0.684807030333, F1 SCORE0.574712643678,
Round27, ROCAUC0.524152542373, LOGLOSS0.729678301872, F1 SCORE0.448470744681,
Round28, ROCAUC0.603693181818, LOGLOSS0.730098368124, F1 SCORE0.575657894737,
Round29, ROCAUC0.58152173913, LOGLOSS1.26548207179, F1 SCORE0.28097826087,
Round30, ROCAUC0.402777777778, LOGLOSS0.683522867602, F1 SCORE0.450284090909,
Round31, ROCAUC0.662438336857, LOGLOSS0.729695065866, F1 SCORE0.561538461538,
Round32, ROCAUC0.632653061224, LOGLOSS0.544119546988, F1 SCORE0.588002263724,
Round33, ROCAUC0.447530864198, LOGLOSS0.493652848821, F1 SCORE0.435643564356,
Round34, ROCAUC0.548076923077, LOGLOSS0.689377093901, F1 SCORE0.490121580547,
Round35, ROCAUC0.632783882784, LOGLOSS0.638194860533, F1 SCORE0.576402321083,
Round36, ROCAUC0.492592592593, LOGLOSS0.748800415259, F1 SCORE0.464735036218,
Round37, ROCAUC0.594666666667, LOGLOSS0.570361843648, F1 SCORE0.468181818182,
Round38, ROCAUC0.6179138322, LOGLOSS0.653374918197, F1 SCORE0.621052631579,
Round39, ROCAUC0.81994047619, LOGLOSS0.783120606799, F1 SCORE0.383333333333,
Round40, ROCAUC0.571428571429, LOGLOSS0.578317430157, F1 SCORE0.414414414414,
Round41, ROCAUC0.722988505747, LOGLOSS0.563851919146, F1 SCORE0.608674463938,
Round42, ROCAUC0.602339181287, LOGLOSS0.868404020319, F1 SCORE0.541176470588,
Round43, ROCAUC0.639583333333, LOGLOSS0.684909992936, F1 SCORE0.469206349206,
Round44, ROCAUC0.730158730159, LOGLOSS0.558756385595, F1 SCORE0.479166666667,
Round45, ROCAUC0.743303571429, LOGLOSS0.598996719552, F1 SCORE0.556650246305,
Round46, ROCAUC0.797222222222, LOGLOSS0.634058058896, F1 SCORE0.364864864865,
TOTAL All round, ROCAUC[0.68025078 0.48677249 0.56138393 0.75308642 0.4755102  0.45039683
 0.71542553 0.7398374  0.81714286 0.52758621 0.61481481 0.74509804
 0.63149351 0.58888889 0.74972678 0.55681818 0.71727395 0.76160991
 0.69375    0.60285714 0.54545455 0.64927048 0.60297767 0.64676198
 0.74930748 0.57916667 0.69005848 0.52415254 0.60369318 0.58152174
 0.40277778 0.66243834 0.63265306 0.44753086 0.54807692 0.63278388
 0.49259259 0.59466667 0.61791383 0.81994048 0.57142857 0.72298851
