Round0, ROCAUC0.667711598746, LOGLOSS0.683938854653, F1 SCORE0.58071278826,
Round1, ROCAUC0.579365079365, LOGLOSS0.598551644998, F1 SCORE0.515125324114,
Round2, ROCAUC0.735491071429, LOGLOSS0.612457927655, F1 SCORE0.59927140255,
Round3, ROCAUC0.601851851852, LOGLOSS1.19533387928, F1 SCORE0.441919191919,
Round4, ROCAUC0.551020408163, LOGLOSS0.678282953039, F1 SCORE0.533333333333,
Round5, ROCAUC0.542658730159, LOGLOSS0.752877189629, F1 SCORE0.422656082386,
Round6, ROCAUC0.664893617021, LOGLOSS0.574780112708, F1 SCORE0.64267866067,
Round7, ROCAUC0.451219512195, LOGLOSS0.594737925428, F1 SCORE0.459770114943,
Round8, ROCAUC0.888571428571, LOGLOSS0.464771381072, F1 SCORE0.4375,
Round9, ROCAUC0.574482758621, LOGLOSS0.812121730436, F1 SCORE0.373214285714,
Round10, ROCAUC0.651851851852, LOGLOSS0.572628530315, F1 SCORE0.62012987013,
Round11, ROCAUC0.882352941176, LOGLOSS0.477300214653, F1 SCORE0.574269005848,
Round12, ROCAUC0.586038961039, LOGLOSS1.13621990673, F1 SCORE0.310661764706,
Round13, ROCAUC0.766666666667, LOGLOSS0.472458966228, F1 SCORE0.51221719457,
Round14, ROCAUC0.72131147541, LOGLOSS0.456206251401, F1 SCORE0.627972027972,
Round15, ROCAUC0.615584415584, LOGLOSS1.56989264379, F1 SCORE0.356389578164,
Round16, ROCAUC0.521592442645, LOGLOSS0.673016037686, F1 SCORE0.467331409079,
Round17, ROCAUC0.710526315789, LOGLOSS0.63589724199, F1 SCORE0.592307692308,
Round18, ROCAUC0.6515625, LOGLOSS0.883965970872, F1 SCORE0.519327731092,
Round19, ROCAUC0.701428571429, LOGLOSS0.615830779076, F1 SCORE0.638888888889,
Round20, ROCAUC0.574074074074, LOGLOSS0.670708221548, F1 SCORE0.588709677419,
Round21, ROCAUC0.657687991021, LOGLOSS1.0603761672, F1 SCORE0.412830735774,
Round22, ROCAUC0.740694789082, LOGLOSS0.661107091789, F1 SCORE0.431893687708,
Round23, ROCAUC0.477712363331, LOGLOSS1.34611939367, F1 SCORE0.292929292929,
Round24, ROCAUC0.706371191136, LOGLOSS0.665833385367, F1 SCORE0.51171579743,
Round25, ROCAUC0.623611111111, LOGLOSS1.16526114971, F1 SCORE0.42962962963,
Round26, ROCAUC0.611111111111, LOGLOSS0.95965495323, F1 SCORE0.400682011935,
Round27, ROCAUC0.612711864407, LOGLOSS0.662721109482, F1 SCORE0.559515151515,
Round28, ROCAUC0.664772727273, LOGLOSS0.567613091536, F1 SCORE0.493322859387,
Round29, ROCAUC0.573913043478, LOGLOSS0.968726050523, F1 SCORE0.346875875595,
Round30, ROCAUC0.686507936508, LOGLOSS0.586999284667, F1 SCORE0.539285714286,
Round31, ROCAUC0.567653276956, LOGLOSS0.676927657504, F1 SCORE0.532307692308,
Round32, ROCAUC0.639455782313, LOGLOSS0.557599803233, F1 SCORE0.536643026005,
Round33, ROCAUC0.703703703704, LOGLOSS0.462536387276, F1 SCORE0.472222222222,
Round34, ROCAUC0.636217948718, LOGLOSS0.560128869825, F1 SCORE0.481292517007,
