Round0, ROCAUC0.501567398119, LOGLOSS0.661448674649, F1 MACRO0.52380952381, F1 POS0.333333333333, ACCURACY0.6, PRECISION0.524216524217, RECALL0.526645768025
Round1, ROCAUC0.373015873016, LOGLOSS0.666763547589, F1 MACRO0.380566801619, F1 POS0.0769230769231, ACCURACY0.529411764706, PRECISION0.411764705882, RECALL0.365079365079
Round2, ROCAUC0.352678571429, LOGLOSS0.694208726964, F1 MACRO0.36231884058, F1 POS0.0, ACCURACY0.568181818182, PRECISION0.30487804878, RECALL0.446428571429
Round3, ROCAUC0.44212962963, LOGLOSS0.712596737871, F1 MACRO0.49, F1 POS0.5, ACCURACY0.490196078431, PRECISION0.490769230769, RECALL0.490740740741
Round4, ROCAUC0.316326530612, LOGLOSS0.706238338534, F1 MACRO0.315840154068, F1 POS0.0645161290323, ACCURACY0.408163265306, PRECISION0.326286764706, RECALL0.307142857143
Round5, ROCAUC0.573412698413, LOGLOSS0.679382030947, F1 MACRO0.584722222222, F1 POS0.711111111111, ACCURACY0.623188405797, PRECISION0.584656084656, RECALL0.595238095238
Round6, ROCAUC0.469414893617, LOGLOSS0.693902910839, F1 MACRO0.396929824561, F1 POS0.210526315789, ACCURACY0.454545454545, PRECISION0.486666666667, RECALL0.473404255319
Round7, ROCAUC0.617886178862, LOGLOSS0.52427119841, F1 MACRO0.614121510673, F1 POS0.285714285714, ACCURACY0.893617021277, PRECISION0.945652173913, RECALL0.583333333333
Round8, ROCAUC0.691428571429, LOGLOSS0.603092730708, F1 MACRO0.619932432432, F1 POS0.375, ACCURACY0.777777777778, PRECISION0.660256410256, RECALL0.607142857143
Round9, ROCAUC0.420689655172, LOGLOSS0.69396747152, F1 MACRO0.415584415584, F1 POS0.285714285714, ACCURACY0.444444444444, PRECISION0.419713831479, RECALL0.430344827586
Round10, ROCAUC0.67037037037, LOGLOSS0.592897234055, F1 MACRO0.492307692308, F1 POS0.153846153846, ACCURACY0.717948717949, PRECISION0.510714285714, RECALL0.505555555556
Round11, ROCAUC0.352941176471, LOGLOSS0.600197613812, F1 MACRO0.434782608696, F1 POS0.0, ACCURACY0.769230769231, PRECISION0.487804878049, RECALL0.392156862745
Round12, ROCAUC0.577922077922, LOGLOSS0.702985010743, F1 MACRO0.441918147995, F1 POS0.341463414634, ACCURACY0.46, PRECISION0.485446985447, RECALL0.488636363636
Round13, ROCAUC0.4, LOGLOSS0.748748562774, F1 MACRO0.239655172414, F1 POS0.1, ACCURACY0.265306122449, PRECISION0.450854700855, RECALL0.372222222222
Round14, ROCAUC0.586885245902, LOGLOSS0.600717665333, F1 MACRO0.530352599055, F1 POS0.190476190476, ACCURACY0.776315789474, PRECISION0.57380952381, RECALL0.533879781421
Round15, ROCAUC0.469480519481, LOGLOSS0.70768738942, F1 MACRO0.446666666667, F1 POS0.56, ACCURACY0.469879518072, PRECISION0.455847953216, RECALL0.450974025974
Round16, ROCAUC0.647773279352, LOGLOSS0.652898198366, F1 MACRO0.564960047351, F1 POS0.322580645161, ACCURACY0.7, PRECISION0.561965811966, RECALL0.578272604588
Round17, ROCAUC0.554179566563, LOGLOSS0.711350861585, F1 MACRO0.449695667741, F1 POS0.491228070175, ACCURACY0.452830188679, PRECISION0.517543859649, RECALL0.515479876161
Round18, ROCAUC0.625, LOGLOSS0.701758427689, F1 MACRO0.493253373313, F1 POS0.551724137931, ACCURACY0.5, PRECISION0.567669172932, RECALL0.55625
Round19, ROCAUC0.702857142857, LOGLOSS0.655617538171, F1 MACRO0.663122923588, F1 POS0.628571428571, ACCURACY0.666666666667, PRECISION0.678571428571, RECALL0.692857142857
Round20, ROCAUC0.455387205387, LOGLOSS0.697166573768, F1 MACRO0.450769230769, F1 POS0.44, ACCURACY0.450980392157, PRECISION0.487664473684, RECALL0.487373737374
Round21, ROCAUC0.490460157127, LOGLOSS0.718369202316, F1 MACRO0.451428571429, F1 POS0.542857142857, ACCURACY0.466666666667, PRECISION0.485636114911, RECALL0.488215488215
Round22, ROCAUC0.519230769231, LOGLOSS0.699085785632, F1 MACRO0.383783783784, F1 POS0.567567567568, ACCURACY0.438596491228, PRECISION0.440972222222, RECALL0.468362282878
Round23, ROCAUC0.500420521447, LOGLOSS0.693244577306, F1 MACRO0.455782312925, F1 POS0.673469387755, ACCURACY0.542857142857, PRECISION0.481781376518, RECALL0.488645920942
Round24, ROCAUC0.576177285319, LOGLOSS0.685194636646, F1 MACRO0.568181818182, F1 POS0.636363636364, ACCURACY0.578947368421, PRECISION0.587692307692, RECALL0.578947368421
Round25, ROCAUC0.472916666667, LOGLOSS0.706171261026, F1 MACRO0.514025245442, F1 POS0.608695652174, ACCURACY0.532467532468, PRECISION0.514539007092, RECALL0.514236111111
Round26, ROCAUC0.643274853801, LOGLOSS0.668578627142, F1 MACRO0.567251461988, F1 POS0.578947368421, ACCURACY0.567567567568, PRECISION0.567251461988, RECALL0.567251461988
Round27, ROCAUC0.532203389831, LOGLOSS0.612174300076, F1 MACRO0.508706467662, F1 POS0.166666666667, ACCURACY0.746835443038, PRECISION0.63, RECALL0.533050847458
Round28, ROCAUC0.573863636364, LOGLOSS0.748109758593, F1 MACRO0.359624931054, F1 POS0.448979591837, ACCURACY0.372093023256, PRECISION0.644736842105, RECALL0.578125
Round29, ROCAUC0.435869565217, LOGLOSS0.688391327858, F1 MACRO0.455555555556, F1 POS0.688888888889, ACCURACY0.555555555556, PRECISION0.463846153846, RECALL0.474456521739
Round30, ROCAUC0.448412698413, LOGLOSS0.642559887365, F1 MACRO0.488095238095, F1 POS0.142857142857, ACCURACY0.720930232558, PRECISION0.488095238095, RECALL0.488095238095
Round31, ROCAUC0.563777307963, LOGLOSS0.686599808696, F1 MACRO0.559613696225, F1 POS0.507462686567, ACCURACY0.565789473684, PRECISION0.559523809524, RECALL0.559901338971
Round32, ROCAUC0.538265306122, LOGLOSS0.691051459738, F1 MACRO0.511425010386, F1 POS0.275862068966, ACCURACY0.625, PRECISION0.511382113821, RECALL0.511904761905
Round33, ROCAUC0.425925925926, LOGLOSS0.646470254451, F1 MACRO0.463157894737, F1 POS0.105263157895, ACCURACY0.701754385965, PRECISION0.506859756098, RECALL0.527777777778
