Round0, ROCAUC0.489028213166, LOGLOSS0.643099415302, F1 MACRO0.482312338223, F1 POS0.210526315789, ACCURACY0.625, PRECISION0.484375, RECALL0.487460815047
Round1, ROCAUC0.362433862434, LOGLOSS0.685922440361, F1 MACRO0.432186234818, F1 POS0.153846153846, ACCURACY0.56862745098, PRECISION0.455882352941, RECALL0.43253968254
Round2, ROCAUC0.40625, LOGLOSS0.68785843795, F1 MACRO0.381939799331, F1 POS0.0869565217391, ACCURACY0.522727272727, PRECISION0.368725868726, RECALL0.424107142857
Round3, ROCAUC0.448302469136, LOGLOSS0.694464068787, F1 MACRO0.465322580645, F1 POS0.35, ACCURACY0.490196078431, PRECISION0.506072874494, RECALL0.50462962963
Round4, ROCAUC0.344897959184, LOGLOSS0.737723031823, F1 MACRO0.369485294118, F1 POS0.176470588235, ACCURACY0.428571428571, PRECISION0.385344827586, RECALL0.364285714286
Round5, ROCAUC0.592261904762, LOGLOSS0.693099928507, F1 MACRO0.560909090909, F1 POS0.681818181818, ACCURACY0.594202898551, PRECISION0.564655172414, RECALL0.574404761905
Round6, ROCAUC0.667553191489, LOGLOSS0.693074110421, F1 MACRO0.502164502165, F1 POS0.30303030303, ACCURACY0.581818181818, PRECISION0.55, RECALL0.599734042553
Round7, ROCAUC0.60162601626, LOGLOSS0.516949847024, F1 MACRO0.664285714286, F1 POS0.4, ACCURACY0.872340425532, PRECISION0.703488372093, RECALL0.642276422764
Round8, ROCAUC0.545714285714, LOGLOSS0.660687059164, F1 MACRO0.488636363636, F1 POS0.25, ACCURACY0.6, PRECISION0.494239631336, RECALL0.492857142857
Round9, ROCAUC0.475172413793, LOGLOSS0.695525429867, F1 MACRO0.472180451128, F1 POS0.315789473684, ACCURACY0.518518518519, PRECISION0.499061913696, RECALL0.499310344828
Round10, ROCAUC0.662962962963, LOGLOSS0.58197450485, F1 MACRO0.4, F1 POS0.0, ACCURACY0.666666666667, PRECISION0.371428571429, RECALL0.433333333333
Round11, ROCAUC0.480392156863, LOGLOSS0.689340459613, F1 MACRO0.434782608696, F1 POS0.0, ACCURACY0.769230769231, PRECISION0.487804878049, RECALL0.392156862745
Round12, ROCAUC0.445616883117, LOGLOSS0.710349113941, F1 MACRO0.348958333333, F1 POS0.166666666667, ACCURACY0.4, PRECISION0.389880952381, RECALL0.439935064935
Round13, ROCAUC0.305555555556, LOGLOSS0.69468068225, F1 MACRO0.319444444444, F1 POS0.0, ACCURACY0.469387755102, PRECISION0.425925925926, RECALL0.255555555556
Round14, ROCAUC0.589071038251, LOGLOSS0.582421098101, F1 MACRO0.488721804511, F1 POS0.105263157895, ACCURACY0.776315789474, PRECISION0.527777777778, RECALL0.508743169399
Round15, ROCAUC0.462987012987, LOGLOSS0.717608520784, F1 MACRO0.41134751773, F1 POS0.489361702128, ACCURACY0.421686746988, PRECISION0.431235431235, RECALL0.423376623377
Round16, ROCAUC0.495276653171, LOGLOSS0.687928647654, F1 MACRO0.458204334365, F1 POS0.210526315789, ACCURACY0.571428571429, PRECISION0.48, RECALL0.46963562753
Round17, ROCAUC0.564241486068, LOGLOSS0.694892106191, F1 MACRO0.415094339623, F1 POS0.415094339623, ACCURACY0.415094339623, PRECISION0.451238390093, RECALL0.451238390093
Round18, ROCAUC0.6171875, LOGLOSS0.693549566544, F1 MACRO0.471186440678, F1 POS0.542372881356, ACCURACY0.480769230769, PRECISION0.551282051282, RECALL0.540625
Round19, ROCAUC0.722857142857, LOGLOSS0.668187525792, F1 MACRO0.587301587302, F1 POS0.619047619048, ACCURACY0.589743589744, PRECISION0.686688311688, RECALL0.664285714286
Round20, ROCAUC0.704545454545, LOGLOSS0.658947478322, F1 MACRO0.602597402597, F1 POS0.4, ACCURACY0.705882352941, PRECISION0.709415584416, RECALL0.608585858586
Round21, ROCAUC0.510662177329, LOGLOSS0.727349507809, F1 MACRO0.451428571429, F1 POS0.542857142857, ACCURACY0.466666666667, PRECISION0.485636114911, RECALL0.488215488215
