Round0, ROCAUC0.600313479624, LOGLOSS0.680189882219, F1 MACRO0.482312338223, F1 POS0.210526315789, ACCURACY0.625, PRECISION0.484375, RECALL0.487460815047
Round1, ROCAUC0.39417989418, LOGLOSS0.672019528408, F1 MACRO0.483805668016, F1 POS0.230769230769, ACCURACY0.607843137255, PRECISION0.5, RECALL0.5
Round2, ROCAUC0.424107142857, LOGLOSS0.692589843815, F1 MACRO0.352941176471, F1 POS0.0, ACCURACY0.545454545455, PRECISION0.3, RECALL0.428571428571
Round3, ROCAUC0.371141975309, LOGLOSS0.72197083749, F1 MACRO0.367852858856, F1 POS0.243902439024, ACCURACY0.392156862745, PRECISION0.381274131274, RECALL0.405092592593
Round4, ROCAUC0.328571428571, LOGLOSS0.747864667858, F1 MACRO0.312280701754, F1 POS0.157894736842, ACCURACY0.34693877551, PRECISION0.3425, RECALL0.307142857143
Round5, ROCAUC0.530753968254, LOGLOSS0.68262887433, F1 MACRO0.532148702361, F1 POS0.681318681319, ACCURACY0.579710144928, PRECISION0.533542039356, RECALL0.537202380952
Round6, ROCAUC0.438829787234, LOGLOSS0.719066921147, F1 MACRO0.275582573455, F1 POS0.170212765957, ACCURACY0.290909090909, PRECISION0.426282051282, RECALL0.377659574468
Round7, ROCAUC0.684959349593, LOGLOSS0.690447660203, F1 MACRO0.52149321267, F1 POS0.307692307692, ACCURACY0.617021276596, PRECISION0.562962962963, RECALL0.638211382114
Round8, ROCAUC0.814285714286, LOGLOSS0.582306555245, F1 MACRO0.652777777778, F1 POS0.444444444444, ACCURACY0.777777777778, PRECISION0.668918918919, RECALL0.642857142857
Round9, ROCAUC0.451034482759, LOGLOSS0.731643076848, F1 MACRO0.394109396914, F1 POS0.483870967742, ACCURACY0.407407407407, PRECISION0.408585055644, RECALL0.420689655172
Round10, ROCAUC0.674074074074, LOGLOSS0.583421932581, F1 MACRO0.564732142857, F1 POS0.285714285714, ACCURACY0.74358974359, PRECISION0.597058823529, RECALL0.561111111111
Round11, ROCAUC0.401960784314, LOGLOSS0.671944824549, F1 MACRO0.415730337079, F1 POS0.0, ACCURACY0.711538461538, PRECISION0.486842105263, RECALL0.362745098039
Round12, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.358974358974, F1 POS0.717948717949, ACCURACY0.56, PRECISION0.28, RECALL0.5
Round13, ROCAUC0.611111111111, LOGLOSS0.667004592565, F1 MACRO0.537400145243, F1 POS0.235294117647, ACCURACY0.734693877551, PRECISION0.549145299145, RECALL0.627777777778
Round14, ROCAUC0.542076502732, LOGLOSS0.62451675299, F1 MACRO0.583250249252, F1 POS0.352941176471, ACCURACY0.710526315789, PRECISION0.578947368421, RECALL0.593442622951
Round15, ROCAUC0.471428571429, LOGLOSS0.703609553446, F1 MACRO0.433622828784, F1 POS0.576923076923, ACCURACY0.469879518072, PRECISION0.438475390156, RECALL0.433441558442
Round16, ROCAUC0.445344129555, LOGLOSS0.680169358424, F1 MACRO0.458204334365, F1 POS0.210526315789, ACCURACY0.571428571429, PRECISION0.48, RECALL0.46963562753
Round17, ROCAUC0.40092879257, LOGLOSS0.705163120099, F1 MACRO0.423913043478, F1 POS0.5, ACCURACY0.433962264151, PRECISION0.516260162602, RECALL0.512383900929
Round18, ROCAUC0.72421875, LOGLOSS0.685656693119, F1 MACRO0.594805194805, F1 POS0.618181818182, ACCURACY0.596153846154, PRECISION0.654621848739, RECALL0.64375
Round19, ROCAUC0.694285714286, LOGLOSS0.688215600374, F1 MACRO0.587301587302, F1 POS0.619047619048, ACCURACY0.589743589744, PRECISION0.686688311688, RECALL0.664285714286
Round20, ROCAUC0.412457912458, LOGLOSS0.734384489994, F1 MACRO0.463157894737, F1 POS0.4, ACCURACY0.470588235294, PRECISION0.479166666667, RECALL0.477272727273
Round21, ROCAUC0.488776655443, LOGLOSS0.750649916132, F1 MACRO0.413333333333, F1 POS0.56, ACCURACY0.45, PRECISION0.46875, RECALL0.479797979798
Round22, ROCAUC0.636476426799, LOGLOSS0.692563513915, F1 MACRO0.434871794872, F1 POS0.613333333333, ACCURACY0.491228070175, PRECISION0.547193877551, RECALL0.522952853598
Round23, ROCAUC0.51976450799, LOGLOSS0.695079462869, F1 MACRO0.504166666667, F1 POS0.575, ACCURACY0.514285714286, PRECISION0.504549214227, RECALL0.504625735913
Round24, ROCAUC0.524930747922, LOGLOSS0.6924404298, F1 MACRO0.514204545455, F1 POS0.590909090909, ACCURACY0.526315789474, PRECISION0.529230769231, RECALL0.526315789474
Round25, ROCAUC0.523263888889, LOGLOSS0.691052515785, F1 MACRO0.486959832477, F1 POS0.660194174757, ACCURACY0.545454545455, PRECISION0.503629764065, RECALL0.502777777778
Round26, ROCAUC0.615497076023, LOGLOSS0.680272008922, F1 MACRO0.539194139194, F1 POS0.564102564103, ACCURACY0.540540540541, PRECISION0.539705882353, RECALL0.539473684211
Round27, ROCAUC0.537288135593, LOGLOSS0.601370601337, F1 MACRO0.486287814532, F1 POS0.148148148148, ACCURACY0.708860759494, PRECISION0.517857142857, RECALL0.507627118644
Round28, ROCAUC0.409090909091, LOGLOSS0.80957542741, F1 MACRO0.27036199095, F1 POS0.423076923077, ACCURACY0.302325581395, PRECISION0.634146341463, RECALL0.53125
Round29, ROCAUC0.351630434783, LOGLOSS0.699642247624, F1 MACRO0.332385629362, F1 POS0.22641509434, ACCURACY0.349206349206, PRECISION0.390769230769, RECALL0.422826086957
Round30, ROCAUC0.559523809524, LOGLOSS0.683822273515, F1 MACRO0.464262295082, F1 POS0.24, ACCURACY0.558139534884, PRECISION0.503333333333, RECALL0.505952380952
Round31, ROCAUC0.612403100775, LOGLOSS0.674679587154, F1 MACRO0.517970401691, F1 POS0.454545454545, ACCURACY0.526315789474, PRECISION0.517970401691, RECALL0.517970401691
Round32, ROCAUC0.406462585034, LOGLOSS0.649259441665, F1 MACRO0.501831501832, F1 POS0.190476190476, ACCURACY0.696428571429, PRECISION0.520408163265, RECALL0.511904761905
Round33, ROCAUC0.722222222222, LOGLOSS0.65856100279, F1 MACRO0.472222222222, F1 POS0.166666666667, ACCURACY0.649122807018, PRECISION0.53373015873, RECALL0.657407407407
Round34, ROCAUC0.504807692308, LOGLOSS0.62259132354, F1 MACRO0.496462264151, F1 POS0.125, ACCURACY0.770491803279, PRECISION0.563218390805, RECALL0.517628205128
Round35, ROCAUC0.599816849817, LOGLOSS0.655011540406, F1 MACRO0.539915966387, F1 POS0.294117647059, ACCURACY0.671232876712, PRECISION0.558974358974, RECALL0.542124542125
Round36, ROCAUC0.600740740741, LOGLOSS0.690036422931, F1 MACRO0.613095238095, F1 POS0.642857142857, ACCURACY0.615384615385, PRECISION0.623655913978, RECALL0.619259259259
Round37, ROCAUC0.6, LOGLOSS0.658908313054, F1 MACRO0.597588791137, F1 POS0.387096774194, ACCURACY0.707692307692, PRECISION0.595663265306, RECALL0.6
Round38, ROCAUC0.478458049887, LOGLOSS0.674658127521, F1 MACRO0.40625, F1 POS0.0625, ACCURACY0.605263157895, PRECISION0.416901408451, RECALL0.477702191988
Round39, ROCAUC0.424107142857, LOGLOSS0.706701750691, F1 MACRO0.472618154539, F1 POS0.558139534884, ACCURACY0.486486486486, PRECISION0.472727272727, RECALL0.473214285714
Round40, ROCAUC0.52806122449, LOGLOSS0.708081002419, F1 MACRO0.332776318931, F1 POS0.394366197183, ACCURACY0.338461538462, PRECISION0.527272727273, RECALL0.519132653061
Round41, ROCAUC0.506896551724, LOGLOSS0.691349752962, F1 MACRO0.4508918977, F1 POS0.255319148936, ACCURACY0.520547945205, PRECISION0.483993902439, RECALL0.475862068966
Round42, ROCAUC0.61306042885, LOGLOSS0.684909362976, F1 MACRO0.596273291925, F1 POS0.478260869565, ACCURACY0.630769230769, PRECISION0.615560640732, RECALL0.598440545809
Round43, ROCAUC0.483333333333, LOGLOSS0.704118667001, F1 MACRO0.431524547804, F1 POS0.418604651163, ACCURACY0.431818181818, PRECISION0.433747412008, RECALL0.433333333333
Round44, ROCAUC0.369047619048, LOGLOSS0.687396713495, F1 MACRO0.368863955119, F1 POS0.129032258065, ACCURACY0.46, PRECISION0.377005347594, RECALL0.363095238095
Round45, ROCAUC0.491071428571, LOGLOSS0.693683500091, F1 MACRO0.4375, F1 POS0.25, ACCURACY0.5, PRECISION0.46875, RECALL0.455357142857
Round46, ROCAUC0.47962962963, LOGLOSS0.705606380676, F1 MACRO0.444545454545, F1 POS0.409090909091, ACCURACY0.446808510638, PRECISION0.448369565217, RECALL0.447222222222
TOTAL All round, ROCAUC0.521328186309, LOGLOSS0.685531558188, F1 MACRO0.466441586625, F1 POS0.367328974269, ACCURACY0.549478811682, PRECISION0.503250225972, RECALL0.507318885833
