Round0, ROCAUC0.55329153605, LOGLOSS0.686307796836, F1 MACRO0.515738498789, F1 POS0.285714285714, ACCURACY0.625, PRECISION0.516666666667, RECALL0.515673981191
Round1, ROCAUC0.453703703704, LOGLOSS0.693207268621, F1 MACRO0.408035714286, F1 POS0.1875, ACCURACY0.490196078431, PRECISION0.458074534161, RECALL0.428571428571
Round2, ROCAUC0.441964285714, LOGLOSS0.688298646699, F1 MACRO0.352941176471, F1 POS0.0, ACCURACY0.545454545455, PRECISION0.3, RECALL0.428571428571
Round3, ROCAUC0.41512345679, LOGLOSS0.757646834149, F1 MACRO0.465322580645, F1 POS0.35, ACCURACY0.490196078431, PRECISION0.506072874494, RECALL0.50462962963
Round4, ROCAUC0.319387755102, LOGLOSS0.702851301553, F1 MACRO0.423529411765, F1 POS0.2, ACCURACY0.510204081633, PRECISION0.427083333333, RECALL0.421428571429
Round5, ROCAUC0.640873015873, LOGLOSS0.670554654754, F1 MACRO0.611223799865, F1 POS0.712643678161, ACCURACY0.63768115942, PRECISION0.614102564103, RECALL0.63244047619
Round6, ROCAUC0.502659574468, LOGLOSS0.688925189864, F1 MACRO0.396929824561, F1 POS0.210526315789, ACCURACY0.454545454545, PRECISION0.486666666667, RECALL0.473404255319
Round7, ROCAUC0.349593495935, LOGLOSS0.61242257661, F1 MACRO0.548076923077, F1 POS0.25, ACCURACY0.744680851064, PRECISION0.545945945946, RECALL0.569105691057
Round8, ROCAUC0.657142857143, LOGLOSS0.601723410686, F1 MACRO0.534161490683, F1 POS0.285714285714, ACCURACY0.666666666667, PRECISION0.533422459893, RECALL0.535714285714
Round9, ROCAUC0.456551724138, LOGLOSS0.716919885741, F1 MACRO0.481481481481, F1 POS0.481481481481, ACCURACY0.481481481481, PRECISION0.484137931034, RECALL0.484137931034
Round10, ROCAUC0.603703703704, LOGLOSS0.602970643685, F1 MACRO0.417910447761, F1 POS0.0, ACCURACY0.717948717949, PRECISION0.378378378378, RECALL0.466666666667
Round11, ROCAUC0.0980392156863, LOGLOSS0.664543729562, F1 MACRO0.395348837209, F1 POS0.0, ACCURACY0.653846153846, PRECISION0.485714285714, RECALL0.333333333333
Round12, ROCAUC0.471590909091, LOGLOSS0.741924448609, F1 MACRO0.310661764706, F1 POS0.0625, ACCURACY0.4, PRECISION0.33152173913, RECALL0.449675324675
Round13, ROCAUC0.505555555556, LOGLOSS0.732305866115, F1 MACRO0.350378787879, F1 POS0.125, ACCURACY0.428571428571, PRECISION0.488095238095, RECALL0.461111111111
Round14, ROCAUC0.577049180328, LOGLOSS0.622653495324, F1 MACRO0.525, F1 POS0.25, ACCURACY0.684210526316, PRECISION0.52442671984, RECALL0.526775956284
Round15, ROCAUC0.431168831169, LOGLOSS0.741947445166, F1 MACRO0.443764568765, F1 POS0.477272727273, ACCURACY0.44578313253, PRECISION0.478181818182, RECALL0.476623376623
Round16, ROCAUC0.535762483131, LOGLOSS0.65826552936, F1 MACRO0.45615982242, F1 POS0.176470588235, ACCURACY0.6, PRECISION0.469387755102, RECALL0.457489878543
Round17, ROCAUC0.489938080495, LOGLOSS0.702822291626, F1 MACRO0.284920634921, F1 POS0.514285714286, ACCURACY0.358490566038, PRECISION0.426470588235, RECALL0.488390092879
Round18, ROCAUC0.671875, LOGLOSS0.6847744991, F1 MACRO0.613095238095, F1 POS0.642857142857, ACCURACY0.615384615385, PRECISION0.6875, RECALL0.66875
Round19, ROCAUC0.627142857143, LOGLOSS0.696832850958, F1 MACRO0.50101010101, F1 POS0.577777777778, ACCURACY0.512820512821, PRECISION0.647177419355, RECALL0.604285714286
Round20, ROCAUC0.419191919192, LOGLOSS0.720167137244, F1 MACRO0.481074481074, F1 POS0.358974358974, ACCURACY0.509803921569, PRECISION0.483333333333, RECALL0.482323232323
Round21, ROCAUC0.407968574635, LOGLOSS0.727316021423, F1 MACRO0.377777777778, F1 POS0.533333333333, ACCURACY0.416666666667, PRECISION0.416666666667, RECALL0.446127946128
Round22, ROCAUC0.543424317618, LOGLOSS0.692724274962, F1 MACRO0.495905666557, F1 POS0.619718309859, ACCURACY0.526315789474, PRECISION0.577777777778, RECALL0.552109181141
Round23, ROCAUC0.533221194281, LOGLOSS0.697006678581, F1 MACRO0.545930110902, F1 POS0.617283950617, ACCURACY0.557142857143, PRECISION0.545833333333, RECALL0.546257359125
Round24, ROCAUC0.540166204986, LOGLOSS0.696857977855, F1 MACRO0.491190979563, F1 POS0.558139534884, ACCURACY0.5, PRECISION0.5, RECALL0.5
Round25, ROCAUC0.511458333333, LOGLOSS0.685495452447, F1 MACRO0.504025764895, F1 POS0.703703703704, ACCURACY0.584415584416, PRECISION0.551587301587, RECALL0.531597222222
Round26, ROCAUC0.584795321637, LOGLOSS0.685556893413, F1 MACRO0.564705882353, F1 POS0.6, ACCURACY0.567567567568, PRECISION0.566964285714, RECALL0.565789473684
Round27, ROCAUC0.543220338983, LOGLOSS0.654255521826, F1 MACRO0.496012759171, F1 POS0.272727272727, ACCURACY0.594936708861, PRECISION0.497727272727, RECALL0.497457627119
Round28, ROCAUC0.585227272727, LOGLOSS0.753091688073, F1 MACRO0.387061403509, F1 POS0.458333333333, ACCURACY0.395348837209, PRECISION0.648648648649, RECALL0.59375
Round29, ROCAUC0.375, LOGLOSS0.722641141642, F1 MACRO0.412698412698, F1 POS0.412698412698, ACCURACY0.412698412698, PRECISION0.445108695652, RECALL0.445108695652
Round30, ROCAUC0.575396825397, LOGLOSS0.601839566647, F1 MACRO0.573412698413, F1 POS0.285714285714, ACCURACY0.767441860465, PRECISION0.573412698413, RECALL0.573412698413
Round31, ROCAUC0.516560958421, LOGLOSS0.691166497375, F1 MACRO0.514204545455, F1 POS0.4375, ACCURACY0.526315789474, PRECISION0.514695340502, RECALL0.514446793517
Round32, ROCAUC0.440476190476, LOGLOSS0.664478706462, F1 MACRO0.534929164631, F1 POS0.260869565217, ACCURACY0.696428571429, PRECISION0.549645390071, RECALL0.535714285714
Round33, ROCAUC0.70987654321, LOGLOSS0.692540450054, F1 MACRO0.424242424242, F1 POS0.181818181818, ACCURACY0.526315789474, PRECISION0.55, RECALL0.75
