Round0, ROCAUC0.53605015674, LOGLOSS0.650893170387, F1 MACRO0.515738498789, F1 POS0.285714285714, ACCURACY0.625, PRECISION0.516666666667, RECALL0.515673981191
Round1, ROCAUC0.353174603175, LOGLOSS0.686647804344, F1 MACRO0.397732640529, F1 POS0.137931034483, ACCURACY0.509803921569, PRECISION0.437096774194, RECALL0.396825396825
Round2, ROCAUC0.491071428571, LOGLOSS0.685130082071, F1 MACRO0.333333333333, F1 POS0.0, ACCURACY0.5, PRECISION0.289473684211, RECALL0.392857142857
Round3, ROCAUC0.438271604938, LOGLOSS0.744514095433, F1 MACRO0.385031185031, F1 POS0.216216216216, ACCURACY0.43137254902, PRECISION0.419512195122, RECALL0.449074074074
Round4, ROCAUC0.341836734694, LOGLOSS0.718996201243, F1 MACRO0.369485294118, F1 POS0.176470588235, ACCURACY0.428571428571, PRECISION0.385344827586, RECALL0.364285714286
Round5, ROCAUC0.566468253968, LOGLOSS0.686759831249, F1 MACRO0.566255971838, F1 POS0.742268041237, ACCURACY0.63768115942, PRECISION0.567346938776, RECALL0.565476190476
Round6, ROCAUC0.787234042553, LOGLOSS0.679276371002, F1 MACRO0.56, F1 POS0.4, ACCURACY0.618181818182, PRECISION0.611772486772, RECALL0.724734042553
Round7, ROCAUC0.581300813008, LOGLOSS0.60112591817, F1 MACRO0.664285714286, F1 POS0.4, ACCURACY0.872340425532, PRECISION0.703488372093, RECALL0.642276422764
Round8, ROCAUC0.831428571429, LOGLOSS0.587188530631, F1 MACRO0.807142857143, F1 POS0.7, ACCURACY0.866666666667, PRECISION0.807142857143, RECALL0.807142857143
Round9, ROCAUC0.536551724138, LOGLOSS0.694297662488, F1 MACRO0.532467532468, F1 POS0.428571428571, ACCURACY0.555555555556, PRECISION0.548489666137, RECALL0.542068965517
Round10, ROCAUC0.472222222222, LOGLOSS0.688315611619, F1 MACRO0.511089681774, F1 POS0.235294117647, ACCURACY0.666666666667, PRECISION0.512096774194, RECALL0.511111111111
Round11, ROCAUC0.323529411765, LOGLOSS0.688570053532, F1 MACRO0.409090909091, F1 POS0.0, ACCURACY0.692307692308, PRECISION0.486486486486, RECALL0.352941176471
Round12, ROCAUC0.553571428571, LOGLOSS0.745900229216, F1 MACRO0.406593406593, F1 POS0.228571428571, ACCURACY0.46, PRECISION0.506644518272, RECALL0.503246753247
Round13, ROCAUC0.616666666667, LOGLOSS0.663651979699, F1 MACRO0.460289855072, F1 POS0.173913043478, ACCURACY0.612244897959, PRECISION0.519298245614, RECALL0.561111111111
Round14, ROCAUC0.51693989071, LOGLOSS0.589513926522, F1 MACRO0.488721804511, F1 POS0.105263157895, ACCURACY0.776315789474, PRECISION0.527777777778, RECALL0.508743169399
Round15, ROCAUC0.47987012987, LOGLOSS0.706083184624, F1 MACRO0.491421568627, F1 POS0.607843137255, ACCURACY0.518072289157, PRECISION0.496453900709, RECALL0.496103896104
Round16, ROCAUC0.683535762483, LOGLOSS0.66186029911, F1 MACRO0.534368070953, F1 POS0.341463414634, ACCURACY0.614285714286, PRECISION0.553571428571, RECALL0.585020242915
Round17, ROCAUC0.606811145511, LOGLOSS0.675809336721, F1 MACRO0.577536231884, F1 POS0.521739130435, ACCURACY0.584905660377, PRECISION0.587606837607, RECALL0.59520123839
Round18, ROCAUC0.66875, LOGLOSS0.705492726885, F1 MACRO0.419457735247, F1 POS0.575757575758, ACCURACY0.461538461538, PRECISION0.623188405797, RECALL0.553125
Round19, ROCAUC0.602857142857, LOGLOSS0.692440142998, F1 MACRO0.51153592617, F1 POS0.536585365854, ACCURACY0.512820512821, PRECISION0.578703703704, RECALL0.572857142857
Round20, ROCAUC0.614478114478, LOGLOSS0.68748599174, F1 MACRO0.56712962963, F1 POS0.541666666667, ACCURACY0.56862745098, PRECISION0.597619047619, RECALL0.603535353535
Round21, ROCAUC0.459034792368, LOGLOSS0.710597290595, F1 MACRO0.422908772952, F1 POS0.547945205479, ACCURACY0.45, PRECISION0.467391304348, RECALL0.476430976431
Round22, ROCAUC0.663771712159, LOGLOSS0.68178339015, F1 MACRO0.533245987553, F1 POS0.647887323944, ACCURACY0.561403508772, PRECISION0.630555555556, RECALL0.58746898263
Round23, ROCAUC0.565180824222, LOGLOSS0.692691226516, F1 MACRO0.511731135067, F1 POS0.602409638554, ACCURACY0.528571428571, PRECISION0.511904761905, RECALL0.511774600505
Round24, ROCAUC0.479224376731, LOGLOSS0.723113863092, F1 MACRO0.467787114846, F1 POS0.52380952381, ACCURACY0.473684210526, PRECISION0.472463768116, RECALL0.473684210526
Round25, ROCAUC0.427430555556, LOGLOSS0.691776448256, F1 MACRO0.41830347507, F1 POS0.690265486726, ACCURACY0.545454545455, PRECISION0.453431372549, RECALL0.480208333333
Round26, ROCAUC0.583333333333, LOGLOSS0.687153726011, F1 MACRO0.513157894737, F1 POS0.526315789474, ACCURACY0.513513513514, PRECISION0.513157894737, RECALL0.513157894737
