Round0, ROCAUC0.614420062696, LOGLOSS0.639028653502, F1 MACRO0.551337359793, F1 POS0.315789473684, ACCURACY0.675, PRECISION0.5625, RECALL0.550156739812
Round1, ROCAUC0.42328042328, LOGLOSS0.665214384303, F1 MACRO0.509615384615, F1 POS0.25, ACCURACY0.647058823529, PRECISION0.516666666667, RECALL0.52380952381
Round2, ROCAUC0.404017857143, LOGLOSS0.686645973812, F1 MACRO0.405828002843, F1 POS0.0952380952381, ACCURACY0.568181818182, PRECISION0.407692307692, RECALL0.459821428571
Round3, ROCAUC0.388888888889, LOGLOSS0.756619504269, F1 MACRO0.454769736842, F1 POS0.315789473684, ACCURACY0.490196078431, PRECISION0.510227272727, RECALL0.506944444444
Round4, ROCAUC0.50612244898, LOGLOSS0.697423127233, F1 MACRO0.428333333333, F1 POS0.416666666667, ACCURACY0.428571428571, PRECISION0.513725490196, RECALL0.514285714286
Round5, ROCAUC0.609623015873, LOGLOSS0.687323918377, F1 MACRO0.596679915829, F1 POS0.725274725275, ACCURACY0.63768115942, PRECISION0.595259391771, RECALL0.605654761905
Round6, ROCAUC0.406914893617, LOGLOSS0.621079803597, F1 MACRO0.432989690722, F1 POS0.0, ACCURACY0.763636363636, PRECISION0.42, RECALL0.446808510638
Round7, ROCAUC0.565040650407, LOGLOSS0.565687662744, F1 MACRO0.598290598291, F1 POS0.307692307692, ACCURACY0.808510638298, PRECISION0.592857142857, RECALL0.605691056911
Round8, ROCAUC0.691428571429, LOGLOSS0.632106246551, F1 MACRO0.603174603175, F1 POS0.444444444444, ACCURACY0.666666666667, PRECISION0.605042016807, RECALL0.642857142857
Round9, ROCAUC0.573793103448, LOGLOSS0.693092212633, F1 MACRO0.545582047686, F1 POS0.478260869565, ACCURACY0.555555555556, PRECISION0.549783549784, RECALL0.547586206897
Round10, ROCAUC0.725925925926, LOGLOSS0.656181052709, F1 MACRO0.582887700535, F1 POS0.529411764706, ACCURACY0.589743589744, PRECISION0.68, RECALL0.733333333333
Round11, ROCAUC0.156862745098, LOGLOSS0.581869555207, F1 MACRO0.458333333333, F1 POS0.0, ACCURACY0.846153846154, PRECISION0.488888888889, RECALL0.43137254902
Round12, ROCAUC0.612012987013, LOGLOSS0.690638417006, F1 MACRO0.507389162562, F1 POS0.428571428571, ACCURACY0.52, PRECISION0.55753968254, RECALL0.547077922078
Round13, ROCAUC0.355555555556, LOGLOSS0.7581333664, F1 MACRO0.21632996633, F1 POS0.136363636364, ACCURACY0.224489795918, PRECISION0.481944444444, RECALL0.463888888889
