Round0, ROCAUC0.51724137931, LOGLOSS0.669857252389, F1 MACRO0.54233409611, F1 POS0.347826086957, ACCURACY0.625, PRECISION0.541666666667, RECALL0.543887147335
Round1, ROCAUC0.343915343915, LOGLOSS0.677966581256, F1 MACRO0.443636363636, F1 POS0.16, ACCURACY0.588235294118, PRECISION0.4625, RECALL0.444444444444
Round2, ROCAUC0.381696428571, LOGLOSS0.712302274325, F1 MACRO0.333333333333, F1 POS0.0, ACCURACY0.5, PRECISION0.289473684211, RECALL0.392857142857
Round3, ROCAUC0.358024691358, LOGLOSS0.782801408394, F1 MACRO0.328032712403, F1 POS0.0645161290323, ACCURACY0.43137254902, PRECISION0.348404255319, RECALL0.456018518519
Round4, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.222222222222, F1 POS0.444444444444, ACCURACY0.285714285714, PRECISION0.142857142857, RECALL0.5
Round5, ROCAUC0.543650793651, LOGLOSS0.691154526628, F1 MACRO0.554838709677, F1 POS0.709677419355, ACCURACY0.608695652174, PRECISION0.554166666667, RECALL0.558035714286
Round6, ROCAUC0.781914893617, LOGLOSS0.649772766503, F1 MACRO0.602272727273, F1 POS0.363636363636, ACCURACY0.745454545455, PRECISION0.594076655052, RECALL0.643617021277
Round7, ROCAUC0.642276422764, LOGLOSS0.601017558828, F1 MACRO0.664285714286, F1 POS0.428571428571, ACCURACY0.829787234043, PRECISION0.649038461538, RECALL0.689024390244
Round8, ROCAUC0.754285714286, LOGLOSS0.644150631958, F1 MACRO0.555844155844, F1 POS0.457142857143, ACCURACY0.577777777778, PRECISION0.61, RECALL0.657142857143
Round9, ROCAUC0.51724137931, LOGLOSS0.697123594858, F1 MACRO0.498452012384, F1 POS0.470588235294, ACCURACY0.5, PRECISION0.498626373626, RECALL0.498620689655
Round10, ROCAUC0.707407407407, LOGLOSS0.589392361733, F1 MACRO0.584615384615, F1 POS0.307692307692, ACCURACY0.769230769231, PRECISION0.65, RECALL0.577777777778
Round11, ROCAUC0.352941176471, LOGLOSS0.548574962295, F1 MACRO0.469387755102, F1 POS0.0, ACCURACY0.884615384615, PRECISION0.489361702128, RECALL0.450980392157
Round12, ROCAUC0.573051948052, LOGLOSS0.73912582159, F1 MACRO0.333333333333, F1 POS0.0666666666667, ACCURACY0.44, PRECISION0.46875, RECALL0.49512987013
Round13, ROCAUC0.505555555556, LOGLOSS0.694597611014, F1 MACRO0.39678030303, F1 POS0.1875, ACCURACY0.469387755102, PRECISION0.529761904762, RECALL0.597222222222
Round14, ROCAUC0.646994535519, LOGLOSS0.576772815303, F1 MACRO0.432835820896, F1 POS0.0, ACCURACY0.763157894737, PRECISION0.397260273973, RECALL0.475409836066
Round15, ROCAUC0.468181818182, LOGLOSS0.718627135079, F1 MACRO0.452747252747, F1 POS0.505494505495, ACCURACY0.457831325301, PRECISION0.47901891253, RECALL0.476948051948
Round16, ROCAUC0.654520917679, LOGLOSS0.711424491235, F1 MACRO0.482139082646, F1 POS0.385964912281, ACCURACY0.5, PRECISION0.586538461538, RECALL0.633603238866
Round17, ROCAUC0.53560371517, LOGLOSS0.73143395894, F1 MACRO0.423264540338, F1 POS0.553846153846, ACCURACY0.452830188679, PRECISION0.624223602484, RECALL0.561919504644
Round18, ROCAUC0.6328125, LOGLOSS0.701951003992, F1 MACRO0.405128205128, F1 POS0.553846153846, ACCURACY0.442307692308, PRECISION0.557142857143, RECALL0.528125
Round19, ROCAUC0.682857142857, LOGLOSS0.669331978529, F1 MACRO0.589473684211, F1 POS0.578947368421, ACCURACY0.589743589744, PRECISION0.629166666667, RECALL0.632857142857
Round20, ROCAUC0.563973063973, LOGLOSS0.688873849663, F1 MACRO0.527777777778, F1 POS0.388888888889, ACCURACY0.56862745098, PRECISION0.527777777778, RECALL0.527777777778
Round21, ROCAUC0.501122334456, LOGLOSS0.712266220152, F1 MACRO0.444444444444, F1 POS0.555555555556, ACCURACY0.466666666667, PRECISION0.488888888889, RECALL0.491582491582
Round22, ROCAUC0.694789081886, LOGLOSS0.686497321777, F1 MACRO0.547619047619, F1 POS0.666666666667, ACCURACY0.578947368421, PRECISION0.669960474308, RECALL0.606699751861
Round23, ROCAUC0.609756097561, LOGLOSS0.684890293649, F1 MACRO0.524456521739, F1 POS0.673913043478, ACCURACY0.571428571429, PRECISION0.540763673891, RECALL0.533221194281
Round24, ROCAUC0.551246537396, LOGLOSS0.704511850288, F1 MACRO0.460227272727, F1 POS0.545454545455, ACCURACY0.473684210526, PRECISION0.470769230769, RECALL0.473684210526
